gameid, time, roundNum, score, name, draggedTo
4401-1,1438802446781,1,0,H_baby,2
4401-1,1438802489235,1,1,F_sadperson,1
4401-1,1438802506686,1,1,H_baby,2
4401-1,1438802545519,1,2,I_iceskater,2
4401-1,1438802567341,1,2,H_baby,3
4401-1,1438802574645,1,3,C_ghost,4
4401-1,1438802614945,1,3,D_monk,6
4401-1,1438802636423,1,3,J_compact,7
4401-1,1438802650186,1,4,K_waiter,9
4401-1,1438802656579,1,5,A_bird,8
4401-1,1438802669589,1,6,G_seal,10
4401-1,1438802733765,2,0,A_bird,1
4401-1,1438802739545,2,0,K_waiter,2
4401-1,1438802743813,2,1,E_bunny,3
4401-1,1438802759038,2,1,J_compact,4
4401-1,1438802765155,2,1,G_seal,2
4401-1,1438802809410,2,2,L_egypt,6
4401-1,1438802813150,2,3,I_iceskater,8
4401-1,1438802830506,2,4,K_waiter,9
4401-1,1438802843177,2,5,C_ghost,11
