gameid,time,roundNum,sender,contents,tangram
1490-f,1438969179918,1,matcher,"HELLO?",0
1490-f,1438969197561,1,director,"Hello",0
1490-f,1438969229566,1,matcher,"so what is your image 1",0
1490-f,1438969231229,1,matcher,"?",0
1490-f,1438969234243,1,director,"Number 1 looks like a person facing the right.",J
1490-f,1438969248143,1,director,"The whole left side is flat",J
1490-f,1438969255785,1,matcher,"got it",0
1490-f,1438969255787,1,director,"Straight up and down.",J
1490-f,1438969268226,1,director,"2 looks like he's facing right and kneeling with his hands out.",L
1490-f,1438969279832,1,matcher,"feet flat on ground? or lifted?",L
1490-f,1438969280868,1,director,"but his feet are on the ground",L
1490-f,1438969284026,1,director,"flat",L
1490-f,1438969294102,1,matcher,"k",0
1490-f,1438969295002,1,matcher,"got it",0
1490-f,1438969300506,1,director,"3 facing left arms zstretched out",B
1490-f,1438969311732,1,director,"front arm is like a triangle gap from his body",B
1490-f,1438969328493,1,matcher,"flat back?",B
1490-f,1438969335827,1,director,"no",0
1490-f,1438969349004,1,director,"iit's like a triangle",B
1490-f,1438969357145,1,director,"and his feet are another triangle. ",B
1490-f,1438969380798,1,director,"on his knees",B
1490-f,1438969394128,1,matcher,"facing left?",B
1490-f,1438969399201,1,director,"sorry, right",B
1490-f,1438969401871,1,director,"My bad!!!",0
1490-f,1438969406050,1,matcher,"and that was number 4?",0
1490-f,1438969417560,1,director,"3",0
1490-f,1438969422573,1,matcher,"okay",0
1490-f,1438969423246,1,matcher,"got it",0
1490-f,1438969428443,1,director,"4 is facing left",D
1490-f,1438969431454,1,director,"holding a bowl",D
1490-f,1438969434916,1,matcher,"flat back?",D
1490-f,1438969435742,1,director,"flat back",D
1490-f,1438969438231,1,matcher,"got it",0
1490-f,1438969438264,1,director,"yup",0
1490-f,1438969445712,1,director,"5 looks like a baby bunting",H
1490-f,1438969449534,1,director,"facing right",H
1490-f,1438969461033,1,matcher,"got it",0
1490-f,1438969468639,1,director,"6 facing right sitting down. Crazy hair",E
1490-f,1438969478113,1,matcher,"bunny ears kind of?",E
1490-f,1438969480611,1,director,"yes",0
1490-f,1438969484077,1,matcher,"got it",0
1490-f,1438969488086,1,director,"7 looks like a ghost",C
1490-f,1438969493959,1,matcher,"facing left?",C
1490-f,1438969496051,1,director,"arms outstretched",C
1490-f,1438969496819,1,director,"yes",0
1490-f,1438969497978,1,matcher,"got it",0
1490-f,1438969509427,1,director,"8 looks like a guy sitting left",F
1490-f,1438969516265,1,matcher,"no arms?",F
1490-f,1438969519394,1,director,"right",0
1490-f,1438969520216,1,matcher,"got it",0
1490-f,1438969531082,1,director,"9 he's got one leg stretched back, facing left",I
1490-f,1438969536475,1,director,"both arms out",I
1490-f,1438969538420,1,matcher,"go tit",0
1490-f,1438969540534,1,matcher,"lol",0
1490-f,1438969541715,1,matcher,"got it",0
1490-f,1438969543562,1,director,"lol",0
1490-f,1438969547002,1,director,"10 looks like he's praying",K
1490-f,1438969552387,1,director,"on his knees to the rigght",K
