gameid, time, roundNum, score, name, draggedTo
0215-4,1438804089331,1,0,E_bunny,1
0215-4,1438804134589,1,0,B_helpbunny,1
0215-4,1438804144989,1,1,C_ghost,1
0215-4,1438804182895,1,2,B_helpbunny,2
0215-4,1438804214046,1,1,G_seal,2
0215-4,1438804244583,1,2,D_monk,3
0215-4,1438804310313,1,3,G_seal,4
0215-4,1438804321959,1,3,E_bunny,2
0215-4,1438804324651,1,3,E_bunny,5
0215-4,1438804328129,1,3,E_bunny,2
0215-4,1438804366482,1,4,H_baby,5
0215-4,1438804393435,1,5,F_sadperson,6
0215-4,1438804434876,1,6,B_helpbunny,7
0215-4,1438804467125,1,7,L_egypt,8
0215-4,1438804498181,1,7,A_bird,11
0215-4,1438804501528,1,9,I_iceskater,9
0215-4,1438804580760,1,10,E_bunny,11
0215-4,1438804679714,2,1,J_compact,1
0215-4,1438804725443,2,2,E_bunny,2
0215-4,1438804775316,2,3,C_ghost,3
0215-4,1438804827301,2,4,I_iceskater,4
0215-4,1438804867981,2,5,D_monk,5
0215-4,1438804904872,2,6,K_waiter,6
0215-4,1438804969772,2,7,G_seal,7
0215-4,1438804987640,2,9,L_egypt,8
0215-4,1438805018000,2,10,F_sadperson,9
0215-4,1438805059522,2,10,A_bird,11
0215-4,1438805074299,2,10,B_helpbunny,12
0215-4,1438805077155,2,12,B_helpbunny,10
0215-4,1438805143915,3,1,H_baby,1
0215-4,1438805174667,3,2,I_iceskater,2
0215-4,1438805203861,3,3,K_waiter,3
0215-4,1438805255286,3,4,L_egypt,4
0215-4,1438805288542,3,4,F_sadperson,5
0215-4,1438805297394,3,5,E_bunny,5
0215-4,1438805331908,3,6,C_ghost,6
0215-4,1438805383411,3,7,B_helpbunny,7
0215-4,1438805422003,3,8,F_sadperson,8
0215-4,1438805457899,3,9,D_monk,9
0215-4,1438805479650,3,10,J_compact,10
0215-4,1438805503347,3,12,A_bird,11
0215-4,1438805559403,4,1,C_ghost,1
0215-4,1438805580204,4,2,K_waiter,2
0215-4,1438805613108,4,3,G_seal,3
0215-4,1438805639422,4,4,F_sadperson,4
0215-4,1438805656845,4,5,J_compact,5
0215-4,1438805672061,4,6,D_monk,6
0215-4,1438805699077,4,7,L_egypt,7
0215-4,1438805733350,4,9,E_bunny,8
0215-4,1438805758399,4,10,I_iceskater,9
0215-4,1438805805216,4,9,A_bird,10
0215-4,1438805814866,4,10,H_baby,11
0215-4,1438805818592,4,12,B_helpbunny,10
0215-4,1438805855216,5,1,L_egypt,1
0215-4,1438805884818,5,2,E_bunny,2
0215-4,1438805903241,5,3,D_monk,3
0215-4,1438805925650,5,4,G_seal,4
0215-4,1438805942914,5,5,J_compact,5
0215-4,1438805951234,5,6,H_baby,6
0215-4,1438805970373,5,7,K_waiter,7
0215-4,1438806006075,5,9,A_bird,8
0215-4,1438806007299,5,10,F_sadperson,9
0215-4,1438806024926,5,12,C_ghost,10
0215-4,1438806087453,6,2,G_seal,1
0215-4,1438806109101,6,3,I_iceskater,2
0215-4,1438806139798,6,5,K_waiter,3
0215-4,1438806147581,6,6,A_bird,4
0215-4,1438806160990,6,7,F_sadperson,5
0215-4,1438806168535,6,8,C_ghost,6
0215-4,1438806180055,6,8,E_bunny,7
0215-4,1438806181647,6,8,E_bunny,7
0215-4,1438806197000,6,9,B_helpbunny,8
0215-4,1438806215545,6,10,D_monk,9
0215-4,1438806230912,6,12,H_baby,11
