gameid, time, roundNum, sender, contents
6510-9,1438802974584,1,matcher,"Ready"
6510-9,1438802999827,1,director,"1 is has a square and a triangle at the top with the triangle to the left of the square"
6510-9,1438803034182,1,director,"It comes to a point at the left of the square"
6510-9,1438803050855,1,matcher,"ok I think I got it"
6510-9,1438803080982,1,director,"2 has a diamond shape center at the top on a point and has 2 2 points on the right and on the left a point pointing straight up"
6510-9,1438803142593,1,matcher,"ok"
6510-9,1438803195001,1,director,"3 looks like a man with 2 legs facing left with one leg kicked out and a square on his back"
6510-9,1438803238617,1,matcher,"ok"
6510-9,1438803284242,1,director,"4 looks like a person facing o their knees with there arm out facing right"
6510-9,1438803297334,1,matcher,"ok"
6510-9,1438803328979,1,director,"5 looks very similar but no arms or legs. Just a head and body"
6510-9,1438803357576,1,matcher,"ok"
6510-9,1438803382018,1,director,"6 is perfectly square on the left with 2 points on the right and a diamond centered on top"
6510-9,1438803393990,1,matcher,"ok"
6510-9,1438803450876,1,director,"7 has a square on top left and a triangle beside it on the right."
6510-9,1438803460979,1,director,"The bottom left comes to a long point"
6510-9,1438803472534,1,director,"triangle sticking way out on the bottom right"
6510-9,1438803478873,1,matcher,"ok"
6510-9,1438803512598,1,director,"8 kind of likes like a person ice skating facing left with both arms extended and one leg in the air"
6510-9,1438803530060,1,matcher,"ok"
6510-9,1438803559727,1,director,"9 looks like a person with both arms in the air"
6510-9,1438803601347,1,director,"its a diamond in the center and and a point coming up on either side"
6510-9,1438803617151,1,matcher,"ok"
6510-9,1438803633420,1,director,"10 looks like a person doing a situp"
6510-9,1438803644200,1,matcher,"ok"
6510-9,1438803645215,1,director,"diamond sitting on a point on the far right"
6510-9,1438803657812,1,matcher,"ok"
6510-9,1438803688608,1,director,"11 has two triangles extending by the points from a diamond"
6510-9,1438803713140,1,matcher,"ok done"
6510-9,1438803728165,2,matcher,"ready"
6510-9,1438803729603,2,director,"1 looks like the person doing situp"
6510-9,1438803739618,2,matcher,"ok"
6510-9,1438803751772,2,director,"2 facing left with leg kicked out and square on his back"
6510-9,1438803767464,2,matcher,"ok"
6510-9,1438803772959,2,director,"3 sitting facing right with no arms or legs"
6510-9,1438803796465,2,matcher,"ok"
6510-9,1438803821628,2,director,"4 square on the left. On the right pointed at the top and bottom and diamond centered on top"
6510-9,1438803848447,2,matcher,"ok"
6510-9,1438803855656,2,director,"5 person facing right on knees with arms extended"
6510-9,1438803871626,2,matcher,"ok"
6510-9,1438803893551,2,director,"6 is the two triangles extending up from the corner of the square"
6510-9,1438803909607,2,matcher,"ok"
6510-9,1438803919013,2,director,"7 looks like the person ice skating"
6510-9,1438803930643,2,matcher,"ok"
6510-9,1438803933570,2,director,"8 is person standing and pointing left"
6510-9,1438803947338,2,matcher,"ok"
6510-9,1438803970466,2,director,"9 has square and diamond both touch the top right corner"
6510-9,1438803982633,2,director,"not diamon but triangle"
6510-9,1438803983205,2,matcher,"ok"
6510-9,1438804053382,2,director,"10 has diamond at the top and to points on the right. On the left a point pointing straight up"
6510-9,1438804102202,2,matcher,"ok"
6510-9,1438804105400,2,director,"11 has the very wide bottom with both points extended far out"
6510-9,1438804126711,2,matcher,"ok"
6510-9,1438804147679,2,director,"12 is man with arms in the air"
6510-9,1438804182170,2,matcher,"ok done"
6510-9,1438804212374,3,director,"1 is person doing a situp"
6510-9,1438804226861,3,matcher,"ok"
6510-9,1438804269634,3,director,"2 is square and triangle sitting at an angle on top right corner with all three points touching on that corner"
6510-9,1438804278683,3,matcher,"ok"
6510-9,1438804286713,3,director,"3 is person on their knees pointing right"
6510-9,1438804296401,3,matcher,"ok"
6510-9,1438804311458,3,director,"4 is person facing left with square on their back"
6510-9,1438804328620,3,matcher,"ok"
6510-9,1438804329586,3,director,"5 is person with arms in the air"
6510-9,1438804344521,3,matcher,"ok"
6510-9,1438804356691,3,director,"6 is 2 triangles at the top"
6510-9,1438804372891,3,director,"sitting on top of corner of sqaure"
6510-9,1438804376783,3,director,"square"
6510-9,1438804379530,3,matcher,"ok"
6510-9,1438804438450,3,director,"7 is the diamond on top with 2 peaks pointing right and one peak on the left pointing up "
