gameid, time, roundNum, sender, contents
3891-4,1438803416035,1,matcher,"Hello"
3891-4,1438803448836,1,director,"Hello"
3891-4,1438803456142,1,matcher,"What do you have in 1?"
3891-4,1438803470045,1,director,"man looking back, kicking forward"
3891-4,1438803476964,1,director,"with right leg"
3891-4,1438803488745,1,matcher,"In 2?"
3891-4,1438803501544,1,director,"man leaning forward, arms forward, kicking back with right foot"
3891-4,1438803511996,1,matcher,"3?"
3891-4,1438803525061,1,director,"leaning forward, reading a book"
3891-4,1438803530398,1,director,"to the right"
3891-4,1438803546250,1,matcher,"4?"
3891-4,1438803571627,1,director,"sitted, facing camera, straight on"
3891-4,1438803585841,1,matcher,"5?"
3891-4,1438803605994,1,director,"sitting on ground, looking at knees, feet bent in front, to the left"
3891-4,1438803616500,1,matcher,"6?"
3891-4,1438803634513,1,director,"kneeling down, looking to the right"
3891-4,1438803642483,1,matcher,"7?"
3891-4,1438803652917,1,matcher,"Good descriptions by the way"
3891-4,1438803657627,1,director,"thanks"
3891-4,1438803678900,1,director,"surfing-like arm stretched to the right, but sitting on ground, feet to the left"
3891-4,1438803723994,1,matcher,"8?"
3891-4,1438803730615,1,director,"bunny looking to the right"
3891-4,1438803738089,1,matcher,"Heh. 9?"
3891-4,1438803770548,1,director,"child carrying napsack, heading to the left"
3891-4,1438803779106,1,matcher,"10?"
3891-4,1438803789226,1,director,"falling down to the left, arms outstretched"
3891-4,1438803799262,1,matcher,"The ghost! 11?"
3891-4,1438803818817,1,director,"reading a book while standing, looking to the left"
3891-4,1438803834654,1,matcher,"And 12 is pointing right?"
3891-4,1438803837781,1,director,"yep"
3891-4,1438803846631,2,matcher,"Boo, only 9."
3891-4,1438803848352,2,matcher,"1?"
3891-4,1438803860168,2,director,"One is slight kneel, reading book, looking to the right"
3891-4,1438803866053,2,director,"or pointing"
3891-4,1438803876140,2,matcher,"Knees bent but not kneeling?"
3891-4,1438803880932,2,director,"knees bent"
3891-4,1438803886156,2,matcher,"2?"
3891-4,1438803902455,2,director,"kneeling, reading book, looking to the right"
