gameid, time, roundNum, sender, contents
3423-d,1438804876121,1,matcher,"hello there"
3423-d,1438804896022,1,matcher,"I am the matcher"
3423-d,1438804948898,1,director,"hi"
3423-d,1438804949127,1,matcher,"Hellooooo?"
3423-d,1438804952111,1,matcher,"oh hi"
3423-d,1438804959895,1,matcher,"lets talk turkey"
3423-d,1438804969839,1,matcher,"where are your tangrams?"
3423-d,1438804980275,1,director,"1 looks like a teacher addressing a class."
3423-d,1438804992336,1,matcher,"got it"
3423-d,1438805007071,1,director,"5 looks like a flying nun"
3423-d,1438805016137,1,matcher,"nice, got it"
3423-d,1438805044124,1,director,"3 kinda looks a runway model showing the insides of a cape. I hope that makes sense~~~"
3423-d,1438805054202,1,matcher,"lol yeah wait a sec"
3423-d,1438805089212,1,matcher,"ok got it"
3423-d,1438805115227,1,matcher,"on one which way is the teacher facing??"
3423-d,1438805130883,1,director,"The teacher is facing the left."
3423-d,1438805142236,1,matcher,"awesome, go to 4"
3423-d,1438805145139,1,director,"He is pointing toward the left"
3423-d,1438805169032,1,matcher,"ok"
3423-d,1438805177774,1,director,"4 looks like his head is thrown back, one leg raised and pointing toward the left. "
3423-d,1438805210686,1,matcher,"got it"
3423-d,1438805212196,1,director,"8 looks like it is ice skating. Leg pointing toward the right or back~~~"
3423-d,1438805214158,1,matcher,"you're good at this"
3423-d,1438805251603,1,director,"I hope so."
3423-d,1438805261384,1,matcher,"wait.~~~~~~  4 and 8 sound similar"
3423-d,1438805293024,1,matcher,"I have the ice skater in 8 now"
3423-d,1438805353736,1,director,"11 looks like a sad person sitting down on a bed with legs pointing toward the left. The head looks like it is hanging~~~"
3423-d,1438805403971,1,matcher,"got that one"
3423-d,1438805416366,1,matcher,"4 is still confusing me"
3423-d,1438805428344,1,director,"12 looks like someone sitting on their knees. The knees are pointing ot the right~~~ "
3423-d,1438805481261,1,matcher,"I have two just like that actually"
3423-d,1438805482413,1,director,"4 could also be someone with a large nose and leg pointing toward the left. Maybe carrying something on the back~~~"
3423-d,1438805532053,1,matcher,"ok I think I got 4 now"
3423-d,1438805546043,1,matcher,"your 12 could be two different ones tho"
3423-d,1438805565048,1,matcher,"very similar"
3423-d,1438805579227,1,director,"Oh, I see. The ones on 10 and 12 do look similar~~~ The one on 10 has an extra fold pointing toward the left~~~ While the one on 12 does not~~~"
3423-d,1438805590672,1,matcher,"greeeeeeat got it"
3423-d,1438805656311,1,director,"2 could be someone kneeling as well. But toward the left~~~ It is bigger and could have a large ponytail~~~"
3423-d,1438805674530,1,matcher,"I have your flying nun in #2"
3423-d,1438805684826,1,director,"flying nun is 5"
3423-d,1438805691210,1,matcher,"oh ok"
3423-d,1438805721849,1,director,"7 is very similar to 3"
3423-d,1438805742708,1,matcher,"3 is your runway model, right?"
3423-d,1438805746615,1,director,"Yes"
3423-d,1438805775930,1,director,"While 3 has arms outstretched, 7 looks like the arms are hanging more naturally."
3423-d,1438805870170,1,director,"Are you there?"
3423-d,1438805873359,1,matcher,"yeah"
3423-d,1438805876856,1,matcher,"I am thinking"
3423-d,1438805890681,1,matcher,"I know I have 3 now"
3423-d,1438805896263,1,matcher,"and 7 too I think"
3423-d,1438805934054,1,director,"Ok, 6 kind of looks like 11 (sad person) but turned  in the opposite direction and more triangular."
3423-d,1438805953273,1,matcher,"got it "
3423-d,1438805962421,1,matcher,"has a bow or bunny ears"
3423-d,1438805968319,1,director,"yes"
3423-d,1438805982744,1,director,"9 should be the last one."
3423-d,1438805996867,1,matcher,"what does 9 look like on your end?"
3423-d,1438806038745,1,director,"2 triangles, one square and a large L shape on the bottom."
3423-d,1438806094477,1,matcher,"L pointing left??"
3423-d,1438806105168,1,director,"Yes."
3423-d,1438806175912,1,director,"How's it going?"
3423-d,1438806242396,1,matcher,"I thnk I'm all set"
3423-d,1438806249187,1,director,"ok"
3423-d,1438806251305,1,matcher,"sorry"
3423-d,1438806255061,1,matcher,"like this.~~~~~~"
3423-d,1438806292208,1,director,"So, you're ready to submit?"
3423-d,1438806309506,1,matcher,"yep"
3423-d,1438806331138,2,matcher,"how did we get 9 correct??"
3423-d,1438806354335,2,director,"I guess we got mixed up on 3 of them. 9 out of 12 ain't bad~~~"
3423-d,1438806361970,2,matcher,"I suppose"
3423-d,1438806380411,2,matcher,"now we have some names / ideas for these start me at 1"
3423-d,1438806409350,2,director,"1 is the teacher. pointing toward the left~~~ "
3423-d,1438806418101,2,matcher,"ok"
3423-d,1438806455213,2,director,"2 is the last one we just did with the L shape point toward the left. It looks the least like a person to me~~~"
3423-d,1438806469686,2,matcher,"yep got it"
3423-d,1438806483616,2,director,"3 is the one with the rabbit ears/hair bow."
3423-d,1438806494150,2,matcher,"rabbit, got it"
3423-d,1438806558104,2,director,"4 is the kneeler that is pointing toward the left. where square (head) looks like a triangular ponytail is attached~~~"
3423-d,1438806589450,2,matcher,"got it"
3423-d,1438806596470,2,director,"5 is the ice skater"
3423-d,1438806625634,2,matcher,"got it"
