gameid, time, roundNum, sender, contents
0392-4,1438802344358,1,director,"#1 should look like a person dancing"
0392-4,1438802360744,1,matcher,"With a leg up in the air?"
0392-4,1438802363914,1,director,"yup"
0392-4,1438802374733,1,matcher,"both arms pointing to our left?"
0392-4,1438802408451,1,matcher,"are the arms separated or together?"
0392-4,1438802418999,1,director,"no, both feet are pointing left"
0392-4,1438802433306,1,director,"his nose would be pointing down to the left too"
0392-4,1438802471027,1,matcher,"okay, think I got it, but want to be sure. Is the head at elbow height?"
0392-4,1438802481190,1,director,"yes"
0392-4,1438802487915,1,matcher,"okay, submitting board"
0392-4,1438802497001,2,matcher,"Shoot. Sorry~~~"
0392-4,1438802510406,2,director,"#7 is a person sitting down with his feet to the left"
0392-4,1438802514285,2,director,"kinda slouched over"
0392-4,1438802529101,2,matcher,"can't see the arms?"
0392-4,1438802532773,2,director,"correct"
0392-4,1438802550170,2,director,"#8 is the dancing guy we talked about last round"
0392-4,1438802564351,2,matcher,"Our numbers are different."
0392-4,1438802578251,2,matcher,"But I think we got this one. Submitting~~~"
0392-4,1438802590390,3,matcher,"Hmm."
0392-4,1438802594526,3,director,"don't submit so fast, we have to get as many in the same place as possible"
0392-4,1438802607722,3,matcher,"Got it."
0392-4,1438802632863,3,director,"this time the person sitting slouched over should be #10"
0392-4,1438802658911,3,director,"move that guy to #10 on your board"
0392-4,1438802686723,3,matcher,"Done."
0392-4,1438802704554,3,matcher,"As in that guy."
0392-4,1438802775181,3,matcher,"Where is the sitting bunny rabbit?"
0392-4,1438802857037,3,matcher,"Hello?"
0392-4,1438802939534,3,matcher,"Echo!"
0392-4,1438802980847,4,matcher,"Woot! Got one!"
