gameid, time, roundNum, score, name, draggedTo
4167-f,1438802887925,1,0,L_egypt,5
4167-f,1438802893765,1,1,L_egypt,1
4167-f,1438802915752,1,2,E_bunny,2
4167-f,1438802960276,1,4,B_helpbunny,3
4167-f,1438802988420,1,5,H_baby,4
4167-f,1438802999399,1,6,C_ghost,5
4167-f,1438803067844,1,6,J_compact,6
4167-f,1438803074692,1,7,F_sadperson,7
4167-f,1438803087887,1,8,D_monk,8
4167-f,1438803105892,1,8,J_compact,6
4167-f,1438803119149,1,9,A_bird,9
4167-f,1438803123491,1,8,K_waiter,6
4167-f,1438803155308,1,9,J_compact,11
4167-f,1438803186844,1,9,I_iceskater,12
4167-f,1438803195271,1,9,K_waiter,6
4167-f,1438803205398,1,9,I_iceskater,12
4167-f,1438803207388,1,10,K_waiter,12
4167-f,1438803225228,1,10,I_iceskater,6
4167-f,1438803275936,2,1,E_bunny,1
4167-f,1438803291326,2,1,B_helpbunny,6
4167-f,1438803292844,2,1,J_compact,12
4167-f,1438803300437,2,1,B_helpbunny,6
4167-f,1438803305252,2,2,C_ghost,3
4167-f,1438803314229,2,4,H_baby,2
4167-f,1438803334095,2,4,J_compact,12
4167-f,1438803339276,2,4,B_helpbunny,6
4167-f,1438803357805,2,5,L_egypt,5
4167-f,1438803373205,2,6,I_iceskater,6
4167-f,1438803405732,2,7,J_compact,8
4167-f,1438803418597,2,6,D_monk,9
4167-f,1438803444885,2,7,D_monk,12
4167-f,1438803497877,3,0,G_seal,6
4167-f,1438803505982,3,0,B_helpbunny,1
4167-f,1438803510260,3,1,I_iceskater,1
4167-f,1438803515744,3,2,D_monk,2
4167-f,1438803533108,3,2,H_baby,3
4167-f,1438803544606,3,2,J_compact,12
4167-f,1438803551183,3,2,G_seal,4
4167-f,1438803555493,3,3,C_ghost,5
4167-f,1438803565613,3,4,L_egypt,6
4167-f,1438803575037,3,5,J_compact,7
4167-f,1438803581421,3,6,E_bunny,8
4167-f,1438803586254,3,7,F_sadperson,9
4167-f,1438803613472,3,8,A_bird,11
4167-f,1438803622447,3,8,K_waiter,12
4167-f,1438803656997,4,1,D_monk,1
4167-f,1438803700245,4,2,A_bird,3
4167-f,1438803705621,4,4,I_iceskater,4
4167-f,1438803760465,4,4,E_bunny,12
4167-f,1438803767559,4,5,E_bunny,7
4167-f,1438803776605,4,6,F_sadperson,8
4167-f,1438803782902,4,7,C_ghost,9
4167-f,1438803793817,4,7,L_egypt,12
4167-f,1438803813330,4,8,G_seal,2
4167-f,1438803829089,4,9,J_compact,10
4167-f,1438803837779,4,10,L_egypt,11
4167-f,1438803847888,4,10,K_waiter,12
4167-f,1438803853367,4,10,B_helpbunny,6
4167-f,1438803865767,4,10,B_helpbunny,6
4167-f,1438803869534,4,10,K_waiter,12
4167-f,1438803875094,4,10,B_helpbunny,6
4167-f,1438803882329,4,9,B_helpbunny,12
4167-f,1438803936438,5,1,A_bird,1
4167-f,1438803953927,5,1,H_baby,12
4167-f,1438803955838,5,1,F_sadperson,6
4167-f,1438803965765,5,2,J_compact,3
4167-f,1438803973983,5,3,E_bunny,4
4167-f,1438803984830,5,3,H_baby,12
4167-f,1438803986422,5,3,F_sadperson,6
4167-f,1438804004462,5,4,I_iceskater,5
