gameid, time, roundNum, sender, contents
3882-8,1438802357703,1,director,"hi"
3882-8,1438802361709,1,matcher,"hi"
3882-8,1438802372185,1,director,"so what is your number 1"
3882-8,1438802381424,1,director,"mine looks like a schoolboy holding a book"
3882-8,1438802395218,1,director,"#2 looks like a rhinoceros"
3882-8,1438802403901,1,director,"#3 is like somebody crouching or kneeling down"
3882-8,1438802405461,1,matcher,"2 looks like a priest"
3882-8,1438802425261,1,director,"#4 has a triangle on the right side with a square on top"
3882-8,1438802435046,1,matcher,"yes"
3882-8,1438802444861,1,director,"5 is like somebody with a triangle in their stomach"
3882-8,1438802451162,1,director,"6 looks like a christmas tree"
3882-8,1438802453815,1,director,"kinda sideways"
3882-8,1438802470843,1,director,"7 is a blob with a square on top"
3882-8,1438802474407,1,matcher," 5 looks like someone is flying"
3882-8,1438802486464,1,director,"are you moving your tangrams around?"
3882-8,1438802499417,1,matcher,"yes"
3882-8,1438802508061,1,director,"8 is like a square-ish shape with diamond on top"
3882-8,1438802508615,1,director,"ok"
3882-8,1438802525572,1,director,"9 has a bunch of levels. diamond on top with a triangle coming out of someone's back"
3882-8,1438802539272,1,director,"10 is the one with 2 triangles on the top and square underneath them"
3882-8,1438802546829,1,director,"11 looks like someone sitting down on the ground"
3882-8,1438802555936,1,director,"12 looks like somebody flying/spreading their arms out"
3882-8,1438802581590,1,director,"let me know if you need any further descriptions .~~~~~~"
3882-8,1438802637660,1,matcher,"finished"
3882-8,1438802643390,1,director,"okay cool"
3882-8,1438802658121,1,director,"how do we get to the next round?"
3882-8,1438802694688,2,director,"ok #1 looks like a person holding a bucket"
3882-8,1438802698853,2,director,"diamond on their head"
3882-8,1438802710941,2,director,"2 is like a dinosaur almost, with a square on someone's back"
3882-8,1438802717460,2,director,"their legs are walking"
3882-8,1438802730554,2,director,"3 is someone leaning forward with triangles for arms"
3882-8,1438802746195,2,director,"4 is someone sitting on the ground with a sideways square for a head"
3882-8,1438802754325,2,director,"5 is someone flying/spreading arms out"
3882-8,1438802758864,2,director,"6 looks like a candle"
3882-8,1438802775073,2,director,"7 is someone doing yoga with triangles for hands"
3882-8,1438802781746,2,director,"8 looks like a pine tree"
3882-8,1438802796918,2,director,"9 has 2 triangles on the top, a square underneath, on a big triangle"
3882-8,1438802811614,2,director,"10 is like a tootsie roll, with a diamond on top"
3882-8,1438802826841,2,director,"11 is someone squatting almost, with a triangle pokin out of their stomach"
3882-8,1438802833455,3,director,"12 is someone sitting on the ground"

//looks like they disconnected
