gameid,time,roundNum,sender,contents
2388-c,1438808788498,1,matcher,"Hello"
2388-c,1438808804413,1,director,"The first spot looks like a the profile of a person sitting with their knees up"
2388-c,1438808823278,1,matcher,"are they facing left?"
2388-c,1438808830037,1,director,"yes"
2388-c,1438808832116,1,matcher,"got it"
2388-c,1438808867276,1,matcher,"which spot has the one that looks like a bunny sitting against a wall?"
2388-c,1438808889906,1,director,"that is spot 7"
2388-c,1438808898380,1,matcher,"got it"
2388-c,1438808933665,1,director,"spot 2 has two triangles that stick out to the left and one that sticks out to the right. Like a person standing on one leg"
2388-c,1438808933837,1,matcher,"which has the one that looks like someone standing holding their left leg in the air"
2388-c,1438808945244,1,matcher,"okay got #2"
2388-c,1438808976337,1,director,"3 looks like a person is crouched down to the right, praying or holding a book"
2388-c,1438809034885,1,director,"it sort of makes a "s" with the book going into the legs"
2388-c,1438809054788,1,matcher,"okay got it"
2388-c,1438809104736,1,director,"4 is the diamond head with a rectangle body. it has a small triangle that comes out at the bottom right and a matching indent on the bottom left"
2388-c,1438809141547,1,matcher,"got it"
2388-c,1438809143933,1,director,"5 looks like someone holding up their arms"
2388-c,1438809147787,1,matcher,"good"
2388-c,1438809207099,1,director,"six has a diamond on the left with a triangle on the right of the head area. on the bottom right there is a lone triangle sticking out"
2388-c,1438809226729,1,matcher,"got it"
2388-c,1438809232058,1,matcher,"7 is the bunny right?"
2388-c,1438809236425,1,director,"yep"
2388-c,1438809257425,1,director,"8 is someone pointing to the left "
2388-c,1438809263754,1,matcher,"where is the one standing with left leg in the air?"
2388-c,1438809267473,1,matcher,"got 8"
2388-c,1438809272295,1,director,"that is 12"
2388-c,1438809277297,1,matcher,"cool"
2388-c,1438809315402,1,matcher,"two of the ones left are crouching, one is taller and one is shorter"
2388-c,1438809356235,1,director,"taller would be 10 (it should look like it has two diamonds stacked on each other at the top)"
2388-c,1438809377817,1,matcher,"and then the third remaining has the solid line on the left"
2388-c,1438809382041,1,matcher,"okay got 10"
2388-c,1438809388385,1,director,"solid line is 11"
2388-c,1438809399473,1,matcher,"okay so other croucher is 9"
2388-c,1438809405457,1,director,"should be"
2388-c,1438809411801,1,matcher,"good. submitting!"
2388-c,1438809418536,2,director,"nice"
