gameid,time,roundNum,sender,contents
2760-0,1438969779337,1,matcher,"Hello?"
2760-0,1438969783628,1,director,"Hello"
2760-0,1438969805819,1,matcher,"any ideas?"
2760-0,1438969853509,1,director,"the first piece is what looks like a human figure facing forward with the right hand slightly out (not fully out)"
2760-0,1438969916994,1,director,"second piece is facing forward with the left hand out"
2760-0,1438969941115,1,director,"third is sitting with the knees bent facing left"
2760-0,1438969976992,1,matcher,"i think i got those"
2760-0,1438969977701,1,director,"4th is sitting facing the right with some sort of hat"
2760-0,1438969997221,1,director,"5th facing forward with no limbs sticking out"
2760-0,1438970056048,1,matcher,"ok"
2760-0,1438970073364,1,director,"6th the figure has a block shaped head, kneeling, with both arms out and the left foot out"
2760-0,1438970103371,1,director,"7th: diamond head with knees bent and one arm out"
2760-0,1438970131059,1,director,"8th: block head, standing on one foot with one leg elevated "
2760-0,1438970153165,1,director,"9: diamond head, laying down with both hands up "
2760-0,1438970171401,1,director,"10: diamond head with one foot out and one arm out"
2760-0,1438970199356,1,director,"11: diamond head facing left, standing on one leg, with both arms out "
2760-0,1438970226211,1,director,"12: diamond head, looks like a stretching pose with an arm and leg out"
2760-0,1438970235901,1,matcher,"ok, i think i got them all"
2760-0,1438970255403,2,director,"diamond head with left arm out"
2760-0,1438970272091,2,director,"block head on one knee with both arms out"
2760-0,1438970299361,2,director,"diamond head, standing one one foot, both arms out to facing left"
2760-0,1438970316451,2,director,"diamond head, laying down with both arms out"
2760-0,1438970334785,2,director,"diamond head, facing forward with no limbs sticking out"
2760-0,1438970354760,2,director,"diamond head, sitting down face left side, knees sticking out"
2760-0,1438970379861,2,director,"block head, standing on one foot with one left elevated facing left"
2760-0,1438970415722,2,director,"block head, sitting down facing the right with something above the head"
2760-0,1438970440991,2,director,"block head doing a stretching pose with arm out"
2760-0,1438970446598,2,matcher,"it helps if u put the numbers too so i can go back and check"
2760-0,1438970456034,2,director,"ok"
2760-0,1438970490185,2,director,"10: diamond head, right arm and left leg out"
2760-0,1438970515828,2,director,"11: diamond head with right arm out and knees bent facing the right"
2760-0,1438970539933,2,director,"12: diamond head with right arm slightly out"
2760-0,1438970609257,3,matcher,"ok i figured out which ones i got wrong the first time"
2760-0,1438970630313,3,director,"but it said you got 12 correct on both"
2760-0,1438970643023,3,matcher,"for me it said 10 correct on the first one"
2760-0,1438970658393,3,director,"1: block head with headdress facing the right"
2760-0,1438970680304,3,director,"2: diamond head with left hand slightly extended "
2760-0,1438970698008,3,director,"3: diamond head laying down with both arms extended "
2760-0,1438970731592,3,director,"4: diamond head, standing on one leg facing the left with both hands out"
2760-0,1438970748008,3,director,"diamond head with right hand slightly extended "
2760-0,1438970763219,3,director,"6: diamond head with knees bent to the right and the right hand out"
2760-0,1438970777307,3,director,"7: diamond head sitting down with no limbs extended "
2760-0,1438970797007,3,director,"8: diamond head with right arm and left leg out"
2760-0,1438970853604,3,director,"9: square( lol been calling it block this whole time, wow) with both arms out and left leg also out"
2760-0,1438970894703,3,matcher,"same thing really"
2760-0,1438970896592,3,director,"10: square head, standing on one leg facing the left with one leg up and extended "
2760-0,1438970952713,3,director,"11: diamond head  doing a stretch with right arm out and left leg out"
2760-0,1438970965265,3,director,"12: diamond head sitting with knees facing the left "
2760-0,1438970994844,4,director,"1: square head with both arms out, left leg out"
2760-0,1438971011870,4,director,"2: diamond head with knees bent to the right and right arm out"
2760-0,1438971025766,4,director,"3: diamond head with left arm out "
2760-0,1438971037365,4,director,"4: square head with headdress "
2760-0,1438971058841,4,director,"5: diamond head, standing on one leg, both arms out to the left "
2760-0,1438971069766,4,director,"6: diamond head with no limbs "
2760-0,1438971089813,4,director,"7: diamond head, sitting and knees bent facing the left"
2760-0,1438971111426,4,director,"8: diamond head with right arm out and left leg out"
2760-0,1438971123482,4,director,"9: diamond head with right arm slightly out"
2760-0,1438971137145,4,director,"10: diamond head, laying down with both arms out"
2760-0,1438971160406,4,director,"11: square head, standing on one leg while the other is extended, facing the left"
2760-0,1438971177112,4,director,"12: diamond head, stretching "
2760-0,1438971225204,5,director,"1: diamond head, standing on one leg facing the left with both hands out"
2760-0,1438971252031,5,director,"2: diamond head, right arm out, left leg out"
2760-0,1438971270939,5,director,"3: diamond head, sitting with knees facing the left"
