gameid,time,roundNum,sender,contents
4927-0,1438964304723,1,director,"Hello"
4927-0,1438964314352,1,matcher,"Hello"
4927-0,1438964352279,1,matcher,"What's in square 1?"
4927-0,1438964367618,1,director,"Square one is one of the hardest to describe"
4927-0,1438964375954,1,director,"the bottom left is a triangle"
4927-0,1438964388218,1,director,"conttected to a larger shape"
4927-0,1438964396993,1,matcher,"Does it look like a weird mouse?"
4927-0,1438964408783,1,matcher,"with one square ear and one triangle ear?"
4927-0,1438964409346,1,director,"no, that might be #3"
4927-0,1438964441051,1,director,"oh no you're right #1 does looks like a mouse "
4927-0,1438964463929,1,matcher,"ot"
4927-0,1438964472728,1,matcher,"it's a small triangle on the left?"
4927-0,1438964483322,1,director,"yes small triangle pointing up in the bottom left"
4927-0,1438964494082,1,director,"doesn't match flat to the shape next to it"
4927-0,1438964507668,1,matcher,"ok, got it. how about 2?"
4927-0,1438964533650,1,director,"#2 is a fairly solid large black shape with a triangle pointing right in the bottom right"
4927-0,1438964550586,1,director,"and a rotated square on top"
4927-0,1438964576024,1,matcher,"looks kinda like it's lounging with a really long neck?"
4927-0,1438964612609,1,director,"not really"
4927-0,1438964624201,1,director,"let's go to #3 for now"
4927-0,1438964638033,1,director,"#3 is pretty easy, it's the only one with a square with two triangle "ears""
4927-0,1438964646465,1,director,"looks like a little rabbit or something"
4927-0,1438964657041,1,matcher,"sitting facing right?"
4927-0,1438964661193,1,director,"yes"
4927-0,1438964668289,1,matcher,"ok, what about 4?"
4927-0,1438964682464,1,director,"4 is the only one with a diamond on top sitting on a totally flat surface"
4927-0,1438964712976,1,matcher,"completely flat on the left side with angles pointed right?"
4927-0,1438964715874,1,director,"yes"
4927-0,1438964726779,1,matcher,"ok, 5?"
4927-0,1438964740913,1,director,"5 looks like someone with their knees bent to the right"
4927-0,1438964750089,1,director,"facing right"
4927-0,1438964759641,1,director,"with hands in front of them"
4927-0,1438964764441,1,matcher,"got it"
4927-0,1438964776473,1,director,"6 looks like someone standing on one leg facing left"
4927-0,1438964782449,1,director,"with their other leg stretched behind them"
4927-0,1438964799672,1,matcher,"with arms to the left?"
4927-0,1438964802137,1,director,"yes"
4927-0,1438964807281,1,matcher,"ok, 7?"
4927-0,1438964813018,1,director,"7 looks a lot like 5"
4927-0,1438964825600,1,director,"but with a tail or extra piece in the back"
4927-0,1438964837452,1,matcher,"got it"
4927-0,1438964851904,1,director,"8 looks like someone sitting on the ground facing left"
4927-0,1438964857616,1,director,"with knees up"
4927-0,1438964866994,1,matcher,"ok, 9?"
4927-0,1438964879080,1,director,"hmm 9 is a bunch of small shapes"
4927-0,1438964898025,1,matcher,"looks like someone facing the sky? with arms raised?"
4927-0,1438964909664,1,director,"no that is 10"
4927-0,1438964924322,1,matcher,"and a leg raised facing left? it that 10?"
4927-0,1438964937968,1,director,"oh no the raised leg is 12"
