gameid, time, roundNum, score, dragObjIndex, dragObjX, dragObjY swapObjIndex, swapObjX, swapObjY
1125-1,1438193548722,1,0,1,6,2,9,4,2
1125-1,1438193551230,1,1,1,4,1,7,6,2
1125-1,1438193552627,1,1,9,4,2,9,4,2
1125-1,1438193553873,1,0,1,6,2,7,4,1
1125-1,1438193576055,1,0,6,1,1,6,1,1
1125-1,1438193581127,1,0,6,5,2,3,1,1
1125-1,1438193625565,1,0,3,4,2,9,1,1
1125-1,1438193642744,1,0,0,3,2,10,6,1
1125-1,1438193656338,1,0,8,3,2,0,5,1
1125-1,1438193686633,1,0,8,2,2,11,3,2
1125-1,1438193687900,1,0,0,3,2,11,5,1
1125-1,1438193716653,1,0,10,3,2,0,6,1
1125-1,1438193737525,1,0,0,2,1,5,6,1
1125-1,1438193749992,1,0,7,3,1,2,4,1
1125-1,1438193790466,1,0,0,2,1,0,2,1
1125-1,1438193799130,1,0,11,4,1,2,5,1
1125-1,1438193830732,1,1,9,5,1,2,1,1
1125-1,1438193876472,2,1,7,1,1,4,2,1
1125-1,1438193882248,2,2,2,2,1,4,5,1
1125-1,1438193896427,2,3,6,3,1,9,4,1
1125-1,1438193928504,2,3,5,6,2,10,1,2
1125-1,1438193954159,2,3,1,3,2,0,2,2
1125-1,1438193993093,3,0,3,1,1,5,2,2
1125-1,1438194008195,3,0,8,2,1,1,3,2
1125-1,1438194014405,3,1,0,2,1,8,5,2
1125-1,1438194020351,3,1,6,3,1,9,1,2
1125-1,1438194052351,3,2,2,4,1,7,6,2
1125-1,1438194059977,3,2,2,5,2,8,4,1
1125-1,1438194065290,3,2,1,1,1,3,3,2
1125-1,1438194067048,3,3,3,4,1,8,3,2
1125-1,1438194081592,3,3,10,1,2,9,4,2
1125-1,1438194097289,3,2,10,6,2,7,1,2
1125-1,1438194103703,3,4,5,5,2,2,2,2
1125-1,1438194107203,3,3,2,4,2,9,2,2
1125-1,1438194148877,4,1,5,2,1,10,5,2
1125-1,1438194150577,4,1,6,3,1,2,3,2
1125-1,1438194156107,4,2,8,4,1,4,6,1
1125-1,1438194167077,4,3,3,4,2,11,2,2
1125-1,1438194170413,4,3,7,3,2,2,5,1
1125-1,1438194177742,4,4,0,2,2,11,1,2
1125-1,1438194180451,4,4,1,1,2,11,6,2
1125-1,1438194214033,5,1,8,2,1,9,1,1
1125-1,1438194216198,5,2,3,1,1,9,4,2
1125-1,1438194218887,5,3,7,3,1,10,6,1
1125-1,1438194225906,5,4,11,4,1,6,1,2
1125-1,1438194238104,5,3,1,1,2,6,3,2
1125-1,1438194241309,5,3,1,6,2,0,1,2
1125-1,1438194247681,5,3,0,5,2,4,1,2
1125-1,1438194252084,5,3,5,4,2,9,5,1
1125-1,1438194286300,6,0,7,1,1,10,6,2
1125-1,1438194288401,6,1,9,1,1,7,1,2
1125-1,1438194291924,6,1,11,2,1,11,2,1
1125-1,1438194303471,6,2,7,3,1,1,1,2
1125-1,1438194306815,6,3,5,4,1,2,3,2
1125-1,1438194321809,6,4,8,6,2,10,2,2
1125-1,1438194334566,6,4,10,3,2,2,2,2
