gameid, time, roundNum, score, sender, contents
0477-e,1438193258064,1,0,director,"place the one where the tangram looks like its facing left and reaching out its arms to the left while kicking right"
0477-e,1438193327986,1,0,director,"the second tangram looks like someone sitting while slumped over and facing left"
0477-e,1438193345203,1,0,director,"the 3rd tangram looks like a car seat facing to the right"
0477-e,1438193398516,1,2,director,"the fourcth looks like a box with a head n it facing to the right,"
0477-e,1438193430443,1,3,director,"5th tangram loks like a penguin facing right and kicking up its leg"
0477-e,1438193479771,1,3,director,"6th looks like a jumble of shapes laying on the ground and facing right"
0477-e,1438193500878,1,4,director,"7th tangram looks like someone is kneeling and praying while facing to the right"
0477-e,1438193528994,1,5,director,"the 7th looks like someone is kneeling and praying to the right. They also have a horn growing out there back"
0477-e,1438193540815,1,5,director,"i meant 8th for that last one"
0477-e,1438193549376,1,6,director,"9th tangram has bunny ears"
0477-e,1438193573018,1,6,director,"10th tangram looks like someone is kneeling and spreading their wings while facingto the right"
0477-e,1438193600461,1,6,director,"11th tangram looks like someone is wearinga robe while facing left and handing something to someone"
0477-e,1438193609704,1,6,director,"12 tangram looks like a ghost"
0477-e,1438193650821,1,6,matcher,"Does 5 look like a anteater with its nose pointed toward ground and leg up?"
0477-e,1438193712174,1,6,matcher,"Does 6 have diamond on top and pac man mouth on right?"
