gameid,roundNum,sender,tangram,numWords,NNnum,VBnum,DTnum,PRPnum,INnum,TOnum,RBnum
1903-d,1,director,G,1,0,1,0,0,0,0,0
1903-d,1,director,G,4,0,2,0,2,0,0,0
1903-d,1,matcher,G,9,1,1,1,1,0,1,2
1903-d,1,director,G,1,1,0,0,0,0,0,0
1903-d,1,director,B,14,2,1,3,0,1,1,0
1903-d,1,director,B,6,3,0,1,0,1,0,0
1903-d,1,matcher,B,2,0,1,0,1,0,0,0
1903-d,1,director,K,14,5,0,2,0,3,0,0
1903-d,1,director,K,9,1,2,2,0,1,0,0
1903-d,1,director,K,2,0,1,0,0,0,0,1
1903-d,1,matcher,K,2,2,0,0,0,0,0,0
1903-d,1,director,K,2,1,1,0,0,0,0,0
1903-d,1,director,K,11,4,0,1,1,3,0,0
1903-d,1,director,K,3,2,1,0,0,0,0,0
1903-d,1,director,K,4,1,1,0,0,1,0,0
1903-d,1,director,K,2,0,1,0,0,0,0,1
1903-d,1,matcher,K,19,5,4,3,0,0,0,1
1903-d,1,director,K,1,1,0,0,0,0,0,0
1903-d,1,matcher,L,0,0,0,0,0,0,0,0
1903-d,1,matcher,K,10,3,0,3,0,2,0,0
1903-d,1,director,K,1,1,0,0,0,0,0,0
1903-d,1,matcher,K,6,2,1,0,0,1,0,0
1903-d,1,matcher,H,13,3,1,1,0,1,1,1
1903-d,1,matcher,H,5,1,1,0,1,2,0,0
1903-d,1,director,H,2,0,1,0,0,0,0,0
1903-d,1,matcher,E,10,2,2,1,0,1,0,0
1903-d,1,matcher,E,2,0,2,0,0,0,0,0
1903-d,1,director,E,0,0,0,0,0,0,0,0
1903-d,1,director,E,1,1,0,0,0,0,0,0
1903-d,1,director,G,0,0,0,0,0,0,0,0
1903-d,1,matcher,G,13,4,2,0,2,3,0,0
1903-d,1,matcher,G,1,1,0,0,0,0,0,0
1903-d,1,director,G,1,1,0,0,0,0,0,0
1903-d,1,director,I,8,3,1,0,0,3,0,0
1903-d,1,matcher,I,3,1,1,0,1,0,0,0
1903-d,1,matcher,A,5,1,1,1,0,0,0,0
1903-d,1,director,A,4,0,2,1,0,0,0,0
1903-d,1,matcher,B,6,3,2,1,0,0,0,0
1903-d,1,director,B,1,1,0,0,0,0,0,0
1903-d,2,director,I,4,1,1,0,0,1,0,0
1903-d,2,matcher,I,1,1,0,0,0,0,0,0
1903-d,2,director,,1,1,0,0,0,0,0,0
1903-d,2,matcher,A,1,1,0,0,0,0,0,0
1903-d,2,director,B,11,3,1,2,1,1,0,0
1903-d,2,director,B,3,1,0,0,0,1,0,0
1903-d,2,matcher,B,1,1,0,0,0,0,0,0
1903-d,2,director,G,2,1,1,0,0,0,0,0
1903-d,2,matcher,G,1,1,0,0,0,0,0,0
1903-d,2,director,C,2,1,1,0,0,0,0,0
1903-d,2,matcher,C,1,1,0,0,0,0,0,0
1903-d,2,director,F,2,1,1,0,0,0,0,0
1903-d,2,matcher,F,1,1,0,0,0,0,0,0
1903-d,2,director,K,10,2,1,3,0,2,0,0
1903-d,2,matcher,K,1,1,0,0,0,0,0,0
1903-d,2,director,K,2,0,1,0,0,0,0,1
1903-d,2,director,K,3,1,0,0,1,1,0,0
1903-d,2,director,K,2,2,0,0,0,0,0,0
1903-d,2,matcher,K,1,1,0,0,0,0,0,0
1903-d,2,director,D,4,1,1,1,0,0,0,0
1903-d,2,matcher,D,5,2,0,1,0,1,0,0
1903-d,2,matcher,D,1,1,0,0,0,0,0,0
1903-d,2,director,D,2,0,0,0,0,0,0,2
1903-d,2,matcher,D,4,1,2,0,1,0,0,0
1903-d,2,director,E,5,2,2,0,0,1,0,0
1903-d,2,matcher,E,1,1,0,0,0,0,0,0
1903-d,2,director,H,5,1,1,0,0,1,0,0
1903-d,2,director,J,5,3,1,0,0,0,0,1
1903-d,3,director,G,2,1,1,0,0,0,0,0
1903-d,3,director,H,1,0,1,0,0,0,0,0
1903-d,3,matcher,H,1,1,0,0,0,0,0,0
1903-d,3,director,E,3,2,1,0,0,0,0,0
1903-d,3,matcher,E,1,1,0,0,0,0,0,0
1903-d,3,director,I,4,2,0,0,0,1,0,0
1903-d,3,matcher,I,1,1,0,0,0,0,0,0
1903-d,3,director,J,3,1,1,0,0,0,0,1
1903-d,3,matcher,J,1,1,0,0,0,0,0,0
1903-d,3,director,C,2,1,1,0,0,0,0,0
1903-d,3,matcher,C,1,1,0,0,0,0,0,0
1903-d,3,director,,4,3,1,0,0,0,0,0
1903-d,3,matcher,L,1,1,0,0,0,0,0,0
1903-d,3,director,K,7,1,2,0,0,2,0,1
1903-d,3,matcher,K,1,1,0,0,0,0,0,0
1903-d,3,director,A,1,0,1,0,0,0,0,0
1903-d,3,matcher,A,1,1,0,0,0,0,0,0
1903-d,3,director,D,7,2,2,0,0,1,0,2
1903-d,3,matcher,D,1,1,0,0,0,0,0,0
1903-d,3,director,B,3,1,2,0,0,0,0,0
1903-d,3,director,F,2,1,1,0,0,0,0,0
1903-d,3,matcher,F,3,1,1,0,1,0,0,0
1903-d,4,director,I,4,2,0,0,0,1,0,0
1903-d,4,director,L,4,2,1,0,0,0,0,1
1903-d,4,director,F,2,1,1,0,0,0,0,0
1903-d,4,director,J,5,3,1,0,0,0,0,1
1903-d,4,director,B,3,1,2,0,0,0,0,0
1903-d,4,director,D,4,1,3,0,0,0,0,0
1903-d,4,director,E,5,2,2,0,0,1,0,0
1903-d,4,director,A,1,0,1,0,0,0,0,0
1903-d,4,director,C,2,1,1,0,0,0,0,0
1903-d,4,director,K,7,1,0,0,0,4,0,1
1903-d,4,director,E,2,1,1,0,0,0,0,0
1903-d,4,director,H,1,0,1,0,0,0,0,0
1903-d,5,director,E,4,2,1,0,0,1,0,0
1903-d,5,director,G,2,1,1,0,0,0,0,0
1903-d,5,director,C,2,1,1,0,0,0,0,0
1903-d,5,director,L,2,2,0,0,0,0,0,0
1903-d,5,director,J,3,1,1,0,0,0,0,1
1903-d,5,director,B,3,1,2,0,0,0,0,0
1903-d,5,director,I,4,2,0,0,0,1,0,0
1903-d,5,director,D,4,1,3,0,0,0,0,0
1903-d,5,director,A,1,0,1,0,0,0,0,0
1903-d,5,director,K,3,0,0,0,0,2,0,1
1903-d,5,director,F,2,1,1,0,0,0,0,0
1903-d,5,director,H,1,0,1,0,0,0,0,0
1903-d,6,director,A,1,0,1,0,0,0,0,0
1903-d,6,director,D,1,1,0,0,0,0,0,0
1903-d,6,director,C,2,1,1,0,0,0,0,0
1903-d,6,director,K,3,0,0,0,0,2,0,1
1903-d,6,director,I,2,2,0,0,0,0,0,0
1903-d,6,director,I,1,1,0,0,0,0,0,0
1903-d,6,director,J,3,1,1,0,0,0,0,1
1903-d,6,director,F,2,1,1,0,0,0,0,0
1903-d,6,director,B,3,1,2,0,0,0,0,0
1903-d,6,director,H,1,0,1,0,0,0,0,0
1903-d,6,director,G,2,1,1,0,0,0,0,0
1903-d,6,director,L,2,2,0,0,0,0,0,0
1903-d,6,director,E,5,2,2,0,0,1,0,0
2121-8,1,matcher,A,10,1,3,0,3,1,0,0
2121-8,1,director,A,9,3,1,3,0,1,0,0
2121-8,1,matcher,A,2,0,1,0,1,0,0,0
2121-8,1,director,G,6,2,1,2,0,1,0,0
2121-8,1,director,G,1,0,0,0,0,0,0,1
2121-8,1,director,D,5,2,0,2,0,1,0,0
2121-8,1,matcher,G,9,0,2,0,3,1,0,1
2121-8,1,matcher,,8,0,3,0,2,0,0,1
2121-8,1,director,,10,4,1,1,1,0,0,0
2121-8,1,director,E,7,2,2,1,0,1,0,0
2121-8,1,director,K,7,4,1,1,0,1,0,0
2121-8,1,director,J,6,3,0,2,0,1,0,0
2121-8,1,director,F,9,2,3,2,0,1,0,1
2121-8,1,director,L,9,3,2,1,0,1,0,1
2121-8,1,director,B,10,4,1,1,2,1,0,0
2121-8,1,director,H,5,2,1,1,0,0,0,0
2121-8,1,director,C,6,2,1,1,1,0,0,0
2121-8,1,matcher,H,5,1,2,1,0,1,0,0
2121-8,1,director,H,6,3,1,0,1,1,0,0
2121-8,2,director,B,10,4,0,0,2,3,0,0
2121-8,2,matcher,B,15,5,1,2,0,3,0,1
2121-8,2,director,D,8,3,2,1,0,2,0,0
2121-8,2,director,D,2,1,0,1,0,0,0,0
2121-8,2,director,K,8,4,1,1,0,2,0,0
2121-8,2,director,C,5,3,0,1,0,1,0,0
2121-8,2,director,J,10,5,0,2,0,1,0,0
2121-8,2,director,G,9,4,1,2,0,2,0,0
2121-8,2,director,A,13,5,1,3,0,3,0,0
2121-8,2,matcher,A,4,0,3,0,1,0,0,0
2121-8,2,director,A,1,1,0,0,0,0,0,0
2121-8,2,director,L,7,5,0,0,0,2,0,0
2121-8,2,director,H,8,1,2,1,0,3,0,1
2121-8,2,director,I,10,5,1,2,0,1,0,0
2121-8,2,director,F,12,3,4,2,0,2,0,0
2121-8,2,director,E,11,4,0,2,1,3,0,0
2121-8,2,matcher,H,16,4,5,1,2,0,0,1
2121-8,2,director,H,6,0,3,0,1,1,0,1
2121-8,2,director,H,3,1,0,0,0,0,0,1
2121-8,2,matcher,H,17,5,3,4,1,2,0,0
2121-8,2,matcher,H,1,1,0,0,0,0,0,0
2121-8,2,director,H,1,1,0,0,0,0,0,0
2121-8,2,director,H,1,1,0,0,0,0,0,0
2121-8,2,director,H,4,2,0,1,0,1,0,0
2121-8,2,matcher,H,1,1,0,0,0,0,0,0
2121-8,3,director,G,3,0,2,0,0,0,0,1
2121-8,3,director,L,5,3,2,0,0,0,0,0
2121-8,3,director,H,5,1,1,1,0,0,0,1
2121-8,3,director,F,10,2,5,0,0,2,0,0
2121-8,3,director,J,6,3,2,1,0,0,0,0
2121-8,3,director,B,7,2,2,1,0,1,0,0
2121-8,3,director,A,6,2,3,1,0,0,0,0
2121-8,3,director,L,9,5,2,1,0,1,0,0
2121-8,3,director,K,6,3,2,1,0,0,0,0
2121-8,3,director,C,4,2,1,1,0,0,0,0
2121-8,3,director,I,7,2,1,2,0,1,0,0
2121-8,3,director,E,2,0,0,1,0,0,0,0
2121-8,3,director,D,6,2,3,1,0,0,0,0
2121-8,4,director,A,4,2,1,1,0,0,0,0
2121-8,4,director,I,2,1,0,1,0,0,0,0
2121-8,4,director,G,6,2,1,2,0,1,0,0
2121-8,4,director,B,6,2,0,1,0,3,0,0
2121-8,4,director,C,3,2,0,1,0,0,0,0
2121-8,4,director,D,3,1,2,0,0,0,0,0
2121-8,4,director,L,3,2,1,0,0,0,0,0
2121-8,4,director,E,1,0,0,0,0,0,0,0
2121-8,4,director,F,7,2,1,2,0,2,0,0
2121-8,4,director,J,4,1,2,0,0,0,0,0
2121-8,4,director,F,4,1,0,1,0,0,0,1
2121-8,4,director,L,6,3,1,1,0,0,0,0
2121-8,4,director,K,6,3,2,1,0,0,0,0
2121-8,4,matcher,K,3,1,1,0,0,0,0,1
2121-8,4,matcher,K,1,1,0,0,0,0,0,0
2121-8,5,director,J,6,2,2,1,0,1,0,0
2121-8,5,director,F,7,1,3,1,0,1,0,0
2121-8,5,director,I,1,1,0,0,0,0,0,0
2121-8,5,director,B,2,2,0,0,0,0,0,0
2121-8,5,director,B,6,2,0,1,0,3,0,0
2121-8,5,director,C,1,1,0,0,0,0,0,0
2121-8,5,director,H,1,1,0,0,0,0,0,0
2121-8,5,director,E,1,0,0,0,0,0,0,0
2121-8,5,director,L,5,3,0,0,0,2,0,0
2121-8,5,director,G,4,2,1,0,0,1,0,0
2121-8,5,director,K,2,1,1,0,0,0,0,0
2121-8,5,director,D,2,1,1,0,0,0,0,0
2121-8,6,director,F,5,0,2,0,0,1,0,0
2121-8,6,director,J,4,3,0,0,0,1,0,0
2121-8,6,director,C,1,1,0,0,0,0,0,0
2121-8,6,director,B,5,2,0,0,0,3,0,0
2121-8,6,director,K,2,1,0,0,0,0,0,1
2121-8,6,director,A,2,2,0,0,0,0,0,0
2121-8,6,director,L,3,2,1,0,0,0,0,0
2121-8,6,director,E,1,0,0,0,0,0,0,0
2121-8,6,director,I,1,1,0,0,0,0,0,0
2121-8,6,director,G,2,1,1,0,0,0,0,0
2121-8,6,director,D,2,1,1,0,0,0,0,0
2121-8,6,director,H,1,1,0,0,0,0,0,0
2388-c,1,director,F,16,5,1,4,1,4,0,0
2388-c,1,matcher,F,4,0,3,0,1,0,0,0
2388-c,1,director,F,1,1,0,0,0,0,0,0
2388-c,1,matcher,F,2,0,1,0,1,0,0,0
2388-c,1,matcher,E,14,2,3,3,0,2,0,0
2388-c,1,director,E,3,1,1,1,0,0,0,0
2388-c,1,matcher,E,2,0,1,0,1,0,0,0
2388-c,1,director,I,25,6,2,3,0,2,2,0
2388-c,1,matcher,I,16,5,3,2,1,2,0,0
2388-c,1,matcher,I,2,1,1,0,0,0,0,0
