gameid,roundNum,sender,tangram,numWords,NNnum,VBnum,DTnum,PRPnum,INnum,TOnum,RBnum
0215-4,1,director,C,8,3,1,1,1,1,0,0
0215-4,1,director,B,9,3,0,2,1,2,0,0
0215-4,1,matcher,C,7,0,3,1,0,0,0,0
0215-4,1,director,C,4,0,2,0,0,0,0,0
0215-4,1,director,B,11,2,3,2,1,1,0,0
0215-4,1,director,D,16,4,4,3,2,2,0,0
0215-4,1,director,G,13,5,2,2,1,2,0,0
0215-4,1,director,G,11,3,3,1,1,1,0,1
0215-4,1,director,H,11,3,2,3,1,2,0,0
0215-4,1,director,F,9,1,4,1,1,1,0,0
0215-4,1,director,A,9,1,3,0,2,1,0,1
0215-4,1,director,L,10,3,3,1,1,1,0,1
0215-4,1,director,I,12,4,3,1,2,2,0,0
0215-4,1,director,J,15,4,2,4,1,2,0,1
0215-4,1,director,E,18,7,4,2,2,2,0,0
0215-4,1,matcher,K,5,1,2,1,0,1,0,0
0215-4,1,director,K,12,5,3,2,1,1,0,0
0215-4,2,director,J,19,7,2,4,2,1,0,1
0215-4,2,director,F,19,5,4,2,3,4,0,0
0215-4,2,director,C,9,1,3,0,1,0,0,2
0215-4,2,matcher,C,2,0,2,0,0,0,0,0
0215-4,2,director,I,10,3,4,0,2,1,0,0
0215-4,2,director,D,19,5,5,4,2,2,0,0
0215-4,2,matcher,I,19,3,3,3,3,3,0,0
0215-4,2,director,K,12,3,2,1,0,3,1,1
0215-4,2,director,I,5,2,0,2,0,1,0,0
0215-4,2,director,G,19,5,4,2,2,3,1,1
0215-4,2,director,L,4,1,2,0,0,0,0,1
0215-4,2,director,F,7,3,2,1,0,1,0,0
0215-4,2,director,B,19,5,5,4,1,3,0,1
0215-4,2,director,A,17,5,5,0,0,1,0,2
0215-4,2,matcher,H,4,2,1,1,0,0,0,0
0215-4,3,director,B,5,2,0,2,0,1,0,0
0215-4,3,director,I,9,3,4,0,1,1,0,0
0215-4,3,director,K,7,1,2,0,0,3,0,1
0215-4,3,director,L,12,2,3,2,0,0,1,2
0215-4,3,director,E,21,5,5,2,1,5,0,1
0215-4,3,director,C,9,3,1,1,0,1,0,1
0215-4,3,director,B,20,5,4,2,2,3,1,1
0215-4,3,director,F,15,4,6,1,1,3,0,0
0215-4,3,director,D,15,5,4,3,1,1,0,0
0215-4,3,director,J,11,5,2,2,0,1,0,0
0215-4,3,director,A,12,4,3,2,1,1,0,0
0215-4,3,matcher,K,4,3,1,0,0,0,0,0
0215-4,3,director,K,5,2,2,0,0,0,0,0
0215-4,4,director,C,9,3,1,2,0,1,0,1
0215-4,4,director,,6,1,2,0,0,2,0,1
0215-4,4,director,K,4,2,1,0,0,1,0,0
0215-4,4,director,G,10,4,1,2,0,1,1,0
0215-4,4,director,F,8,3,3,1,0,1,0,0
0215-4,4,director,J,13,5,0,4,0,1,0,1
0215-4,4,director,D,11,3,4,3,0,1,0,0
0215-4,4,director,L,12,5,2,1,0,2,0,1
0215-4,4,director,E,16,7,3,1,1,4,0,0
0215-4,4,director,I,12,4,4,0,1,1,0,1
0215-4,4,director,B,13,4,4,1,0,1,0,1
0215-4,4,director,H,5,2,0,2,0,1,0,0
0215-4,4,director,,3,2,0,1,0,0,0,0
0215-4,5,director,L,9,2,3,1,0,1,0,2
0215-4,5,director,E,6,2,1,0,1,1,0,0
0215-4,5,director,D,7,2,4,1,0,0,0,0
0215-4,5,director,G,8,2,1,3,0,0,0,0
0215-4,5,director,J,10,5,0,3,0,1,0,0
0215-4,5,director,H,6,1,1,2,1,1,0,0
0215-4,5,director,K,7,2,3,1,0,0,0,1
0215-4,5,director,A,4,2,0,0,1,0,0,0
0215-4,5,director,F,5,1,2,1,0,1,0,0
0215-4,5,director,C,7,2,2,1,0,1,0,0
0215-4,5,director,I,8,2,4,0,1,1,0,0
0215-4,5,matcher,B,6,2,1,0,0,1,0,0
0215-4,6,director,G,3,2,0,1,0,0,0,0
0215-4,6,director,I,6,2,3,0,1,0,0,0
0215-4,6,director,K,8,3,3,0,0,1,0,1
0215-4,6,director,A,2,1,1,0,0,0,0,0
0215-4,6,director,F,6,1,3,1,0,1,0,0
0215-4,6,director,C,4,2,1,1,0,0,0,0
0215-4,6,director,E,5,2,1,0,0,1,0,0
0215-4,6,director,B,6,2,2,0,0,1,0,0
0215-4,6,director,D,5,2,3,0,0,0,0,0
0215-4,6,director,J,5,2,0,2,0,1,0,0
0215-4,6,director,H,3,1,1,1,0,0,0,0
0619-a,1,director,C,10,1,2,1,0,3,0,0
0619-a,1,matcher,C,5,2,0,2,0,1,0,0
0619-a,1,director,E,12,1,4,2,0,2,0,1
0619-a,1,director,A,8,3,3,1,0,1,0,0
0619-a,1,matcher,A,10,3,0,2,1,3,0,0
0619-a,1,director,F,17,3,5,2,0,3,0,0
0619-a,1,matcher,F,3,1,1,1,0,0,0,0
0619-a,1,director,B,12,1,4,2,0,2,0,1
0619-a,1,matcher,B,11,2,1,2,1,3,0,1
0619-a,1,director,J,25,4,0,5,0,5,0,0
0619-a,1,director,J,11,0,2,2,0,2,0,0
0619-a,1,matcher,J,6,2,0,2,0,2,0,0
0619-a,1,director,A,17,3,1,2,1,4,0,1
0619-a,1,matcher,I,9,3,0,2,0,2,0,1
0619-a,1,director,D,16,3,4,2,0,2,0,0
0619-a,1,matcher,D,3,0,0,1,0,0,0,0
0619-a,1,matcher,K,9,2,2,1,0,1,0,0
0619-a,1,director,K,12,2,3,2,0,2,0,1
0619-a,1,matcher,K,2,1,0,1,0,0,0,0
0619-a,1,director,K,7,0,2,0,1,1,0,0
0619-a,1,director,K,5,1,2,0,2,0,0,0
0619-a,1,matcher,B,14,4,1,4,0,3,1,0
0619-a,1,director,B,10,2,2,1,1,3,0,0
0619-a,1,matcher,H,7,3,1,1,0,2,0,0
0619-a,1,matcher,H,7,0,3,0,0,0,0,2
0619-a,1,director,H,6,2,1,0,0,1,0,1
0619-a,2,director,H,8,1,1,1,0,2,0,0
0619-a,2,matcher,H,1,1,0,0,0,0,0,0
0619-a,2,director,C,8,2,2,2,0,2,0,0
0619-a,2,matcher,C,1,1,0,0,0,0,0,0
0619-a,2,director,L,12,4,2,2,1,3,0,0
0619-a,2,director,E,8,1,3,1,0,1,0,1
0619-a,2,matcher,E,1,1,0,0,0,0,0,0
0619-a,2,director,F,10,2,3,1,0,1,0,1
0619-a,2,matcher,F,3,1,1,1,0,0,0,0
0619-a,2,director,F,5,1,2,0,1,0,0,1
0619-a,2,director,D,5,0,2,1,0,1,0,0
0619-a,2,matcher,D,1,1,0,0,0,0,0,0
0619-a,2,director,A,5,2,1,1,0,1,0,0
0619-a,2,matcher,A,1,1,0,0,0,0,0,0
0619-a,2,director,J,7,2,1,2,0,2,0,0
0619-a,2,matcher,J,1,1,0,0,0,0,0,0
0619-a,2,director,K,12,3,2,2,1,3,0,0
0619-a,2,matcher,K,12,1,3,1,2,2,0,1
0619-a,2,director,K,24,3,4,4,3,2,0,1
0619-a,2,matcher,K,20,6,1,4,0,5,0,0
0619-a,2,matcher,B,6,2,2,1,1,0,0,0
0619-a,2,director,B,4,0,2,0,1,1,0,0
0619-a,2,matcher,B,1,1,0,0,0,0,0,0
0619-a,2,matcher,K,7,1,3,1,0,0,0,1
0619-a,2,director,K,22,6,2,3,1,4,1,2
0619-a,2,matcher,K,4,1,1,0,2,0,0,0
0619-a,2,matcher,A,3,1,1,1,0,0,0,0
0619-a,2,director,A,1,1,0,0,0,0,0,0
0619-a,3,director,A,3,1,1,1,0,0,0,0
0619-a,3,matcher,A,1,1,0,0,0,0,0,0
0619-a,3,director,F,4,1,2,1,0,0,0,0
0619-a,3,matcher,F,1,1,0,0,0,0,0,0
0619-a,3,director,L,8,3,1,1,1,2,0,0
0619-a,3,director,I,10,4,1,1,1,2,0,0
0619-a,3,director,D,3,0,1,1,0,0,0,0
0619-a,3,director,E,3,1,1,1,0,0,0,0
0619-a,3,matcher,I,3,0,0,0,0,1,0,1
0619-a,3,director,B,6,1,2,1,1,0,0,0
0619-a,3,matcher,B,1,1,0,0,0,0,0,0
0619-a,3,matcher,H,5,1,2,1,1,0,0,0
0619-a,3,director,H,3,0,1,1,0,0,0,0
0619-a,3,director,H,3,1,0,0,0,1,0,0
0619-a,3,matcher,H,1,1,0,0,0,0,0,0
0619-a,3,director,J,6,2,1,2,0,1,0,0
0619-a,3,matcher,J,1,1,0,0,0,0,0,0
0619-a,3,director,C,3,1,1,1,0,0,0,0
0619-a,3,matcher,C,1,1,0,0,0,0,0,0
0619-a,3,matcher,K,2,1,0,1,0,0,0,0
0619-a,3,director,K,1,0,1,0,0,0,0,0
0619-a,3,matcher,K,1,1,0,0,0,0,0,0
0619-a,3,director,K,1,1,0,0,0,0,0,0
0619-a,4,director,J,9,4,2,2,0,1,0,0
0619-a,4,matcher,J,1,1,0,0,0,0,0,0
0619-a,4,director,D,3,0,1,1,0,0,0,0
0619-a,4,matcher,D,1,1,0,0,0,0,0,0
0619-a,4,director,F,4,1,2,1,0,0,0,0
0619-a,4,matcher,F,1,1,0,0,0,0,0,0
0619-a,4,director,E,3,1,1,1,0,0,0,0
0619-a,4,matcher,E,1,1,0,0,0,0,0,0
0619-a,4,director,H,4,1,1,1,0,0,0,0
0619-a,4,matcher,H,1,1,0,0,0,0,0,0
0619-a,4,director,A,7,1,4,1,0,1,0,0
0619-a,4,matcher,A,1,1,0,0,0,0,0,0
0619-a,4,director,A,11,3,3,1,1,0,0,1
0619-a,4,director,A,7,2,1,2,0,1,0,0
0619-a,4,matcher,A,1,0,0,0,0,0,0,1
0619-a,4,director,A,1,1,0,0,0,0,0,0
0619-a,4,director,C,3,1,1,1,0,0,0,0
0619-a,4,matcher,I,5,2,0,1,0,1,0,0
0619-a,4,director,I,6,2,2,1,0,1,0,0
0619-a,4,matcher,I,1,1,0,0,0,0,0,0
0619-a,4,director,I,3,1,0,0,0,2,0,0
0619-a,4,matcher,,1,1,0,0,0,0,0,0
0619-a,4,director,I,6,1,2,1,1,1,0,0
0619-a,4,director,A,3,1,1,1,0,0,0,0
0619-a,4,matcher,A,7,2,1,2,0,1,0,0
0619-a,4,director,A,18,5,3,4,0,3,0,0
0619-a,4,director,A,6,1,1,0,0,0,0,0
0619-a,4,matcher,A,2,0,1,0,1,0,0,0
0619-a,4,matcher,B,5,0,2,0,1,1,0,0
0619-a,4,director,B,11,2,3,2,2,1,0,0
0619-a,4,matcher,B,17,5,2,3,1,5,0,0
0619-a,4,director,B,4,2,1,0,0,0,0,0
0619-a,4,matcher,B,0,0,0,0,0,0,0,0
0619-a,4,matcher,G,2,0,0,1,0,0,0,0
0619-a,4,director,G,7,1,4,1,1,0,0,0
0619-a,4,matcher,G,1,1,0,0,0,0,0,0
0619-a,5,director,E,1,1,0,0,0,0,0,0
0619-a,5,matcher,E,1,1,0,0,0,0,0,0
0619-a,5,director,D,1,1,0,0,0,0,0,0
0619-a,5,matcher,D,1,1,0,0,0,0,0,0
0619-a,5,director,J,3,2,0,0,0,1,0,0
0619-a,5,matcher,J,1,1,0,0,0,0,0,0
0619-a,5,director,K,5,2,0,0,0,2,0,0
0619-a,5,matcher,K,1,1,0,0,0,0,0,0
0619-a,5,director,I,1,1,0,0,0,0,0,0
0619-a,5,director,G,1,1,0,0,0,0,0,0
0619-a,5,matcher,G,1,1,0,0,0,0,0,0
0619-a,5,director,C,1,1,0,0,0,0,0,0
0619-a,5,matcher,C,1,1,0,0,0,0,0,0
0619-a,5,director,H,1,0,0,0,0,0,0,0
0619-a,5,director,F,2,1,1,0,0,0,0,0
0619-a,5,director,A,2,0,2,0,0,0,0,0
0619-a,5,matcher,A,1,1,0,0,0,0,0,0
0619-a,5,director,,5,3,1,0,0,1,0,0
0619-a,5,matcher,L,1,1,0,0,0,0,0,0
0619-a,5,director,B,5,1,1,0,0,0,0,2
0619-a,5,matcher,B,3,1,1,1,0,0,0,0
0619-a,5,director,B,2,2,0,0,0,0,0,0
0619-a,5,matcher,I,4,2,1,1,0,0,0,0
0619-a,5,matcher,I,5,2,2,0,0,0,0,0
0619-a,5,director,I,4,2,1,1,0,0,0,0
0619-a,5,matcher,A,1,0,0,0,0,0,0,0
0619-a,5,director,A,5,1,3,0,0,1,0,0
0619-a,5,matcher,K,1,0,0,0,0,0,0,0
0619-a,5,matcher,K,0,0,0,0,0,0,0,0
0619-a,5,director,K,18,6,2,3,2,2,0,0
0619-a,5,director,K,12,2,1,2,0,1,0,2
0619-a,5,director,K,4,0,1,0,0,1,0,0
0619-a,5,matcher,K,1,1,0,0,0,0,0,0
0619-a,6,director,A,2,0,2,0,0,0,0,0
0619-a,6,matcher,A,1,1,0,0,0,0,0,0
0619-a,6,director,F,2,1,1,0,0,0,0,0
0619-a,6,matcher,F,1,1,0,0,0,0,0,0
0619-a,6,director,L,1,1,0,0,0,0,0,0
0619-a,6,director,H,2,0,0,0,0,0,0,0
0619-a,6,matcher,H,1,1,0,0,0,0,0,0
0619-a,6,director,E,1,1,0,0,0,0,0,0
0619-a,6,matcher,E,1,1,0,0,0,0,0,0
0619-a,6,director,B,2,1,1,0,0,0,0,0
0619-a,6,matcher,B,1,1,0,0,0,0,0,0
0619-a,6,director,G,1,1,0,0,0,0,0,0
0619-a,6,matcher,G,1,1,0,0,0,0,0,0
0619-a,6,director,J,3,2,0,0,0,1,0,0
0619-a,6,matcher,J,1,1,0,0,0,0,0,0
0619-a,6,director,I,1,1,0,0,0,0,0,0
0619-a,6,matcher,I,1,1,0,0,0,0,0,0
0619-a,6,director,D,1,1,0,0,0,0,0,0
0619-a,6,matcher,D,1,1,0,0,0,0,0,0
0619-a,6,director,C,1,1,0,0,0,0,0,0
0619-a,6,director,K,1,0,0,0,0,0,0,0
0619-a,6,matcher,K,1,1,0,0,0,0,0,0
1903-d,1,director,E,6,3,0,1,0,2,0,0
1903-d,1,matcher,E,4,1,1,1,0,0,1,0
1903-d,1,director,E,1,1,0,0,0,0,0,0
1903-d,1,matcher,E,3,1,1,0,1,0,0,0
1903-d,1,director,F,5,2,1,1,0,1,0,0
1903-d,1,director,F,2,0,2,0,0,0,0,0
1903-d,1,matcher,F,2,0,1,0,1,0,0,0
1903-d,1,director,C,5,3,0,1,0,1,0,0
1903-d,1,matcher,C,2,0,1,0,1,0,0,0
1903-d,1,director,D,9,4,2,1,1,1,0,0
1903-d,1,matcher,D,10,4,1,1,0,2,0,0
1903-d,1,director,D,9,3,3,1,0,1,0,1
1903-d,1,matcher,D,1,1,0,0,0,0,0,0
1903-d,1,director,J,10,4,2,2,0,0,0,1
1903-d,1,matcher,J,2,0,1,0,1,0,0,0
1903-d,1,director,L,9,3,2,1,1,1,0,1
1903-d,1,director,L,4,2,1,0,0,1,0,0
1903-d,1,matcher,L,1,1,0,0,0,0,0,0
1903-d,1,director,C,11,5,1,1,0,2,1,0
1903-d,1,director,C,3,1,1,0,0,0,0,0
1903-d,1,matcher,C,6,1,2,1,1,0,0,0
1903-d,1,director,C,1,1,0,0,0,0,0,0
