gameid,time,roundNum,sender,contents
2663-c,1438968294651,1,matcher,"is this right?"
2663-c,1438968319301,1,director,"in box 1 I have a person kneeling with prayer hands"
2663-c,1438968333877,1,director,"does that make sense?"
2663-c,1438968337017,1,matcher,"like this?"
2663-c,1438968343852,1,director,"I can't see your board"
2663-c,1438968349382,1,matcher,"ok"
2663-c,1438968351019,1,director,"you can only go off of my description"
2663-c,1438968354186,1,matcher,"box2?"
2663-c,1438968368107,1,director,"let me do the easy ones"
2663-c,1438968372028,1,matcher,"ok"
2663-c,1438968394270,1,director,"box 9 is someone sitting with their back against the wall looking sad"
2663-c,1438968434395,1,matcher,"also can you go kind of fast i only have 12 minutes to complete hit. thanks"
2663-c,1438968466639,1,director,"box 3 someone standing on one leg with other leg extended back"
2663-c,1438968477375,1,matcher,"ok"
2663-c,1438968496607,1,director,"box 2 arms outstreched to the right"
2663-c,1438968507880,1,matcher,"ok"
2663-c,1438968511291,1,director,"box 6 arms are both up in the air"
2663-c,1438968521558,1,matcher,"ok"
2663-c,1438968531233,1,director,"box 4 standing on 1 leg other leg up in the air to the left"
2663-c,1438968546941,1,director,"box 5 squatting to the right"
2663-c,1438968547228,1,matcher,"ok"
2663-c,1438968568388,1,matcher,"ok"
2663-c,1438968579839,1,director,"box 11 looks like a hill with a box and 2 triangles on top"
2663-c,1438968591187,1,matcher,"ok"
2663-c,1438968602008,1,director,"box 10 an almost solid box with a diamond on top"
2663-c,1438968620498,1,matcher,"ok"
2663-c,1438968636767,1,director,"wait there are 2 that kind of fit that description.~~~~~~box 10 has a piece missing from the left"
2663-c,1438968655290,1,director,"box 12 same kind of description.~~~~~~solid with diamond on top"
2663-c,1438968670715,1,matcher,"ok"
2663-c,1438968676329,1,director,"box 8 person facing left holding a hat?"
2663-c,1438968695277,1,matcher,"ok"
2663-c,1438968696031,1,director,"box 7 just a bunch of shapes piled on "
2663-c,1438968700492,1,matcher,"ok"
2663-c,1438968714697,1,director,"that's I think"
2663-c,1438968722127,1,matcher,"ok thanks"
