gameid,time,roundNum,sender,contents
4158-8,1438962002782,1,matcher,"Hello?"
4158-8,1438962056765,1,matcher,"Hello?"
4158-8,1438962093373,1,director,"hello"
4158-8,1438962136572,1,matcher,"Yes"
4158-8,1438962148134,1,director," "
4158-8,1438962162876,1,director,"image number 1 looks like a guy falling or gliding"
4158-8,1438962175842,1,matcher,"ok"
4158-8,1438962178303,1,matcher,"keep going"
4158-8,1438962193114,1,director," look like once ice skating or something"
4158-8,1438962198318,1,director,"2"
4158-8,1438962200493,1,matcher,"go"
4158-8,1438962205059,1,matcher,"3"
4158-8,1438962206250,1,matcher,"?"
4158-8,1438962226520,1,director,"3 is a hard one."
4158-8,1438962239172,1,matcher,"go to 4"
