gameid, time, roundNum, score, name, draggedTo
2388-c,1438808811637,1,1,F_sadperson,1
2388-c,1438808893041,1,2,E_bunny,7
2388-c,1438808940104,1,3,I_iceskater,2
2388-c,1438809061364,1,4,L_egypt,3
2388-c,1438809143006,1,5,H_baby,4
2388-c,1438809143194,1,5,H_baby,4
2388-c,1438809146516,1,6,C_ghost,5
2388-c,1438809222619,1,7,G_seal,6
2388-c,1438809269084,1,8,D_monk,8
2388-c,1438809279104,1,10,A_bird,12
2388-c,1438809391766,1,12,J_compact,11
2388-c,1438809429297,2,1,E_bunny,1
2388-c,1438809457337,2,2,K_waiter,2
2388-c,1438809478600,2,3,J_compact,3
2388-c,1438809503994,2,3,F_sadperson,10
2388-c,1438809507368,2,4,F_sadperson,4
2388-c,1438809516082,2,4,C_ghost,10
2388-c,1438809516774,2,4,G_seal,5
2388-c,1438809519344,2,5,C_ghost,5
2388-c,1438809562504,2,6,L_egypt,6
2388-c,1438809593593,2,8,A_bird,7
2388-c,1438809616678,2,9,B_helpbunny,8
2388-c,1438809658068,2,10,G_seal,9
2388-c,1438809671578,2,12,D_monk,10
2388-c,1438809688589,2,12,H_baby,11
2388-c,1438809872322,3,1,K_waiter,1
2388-c,1438809885658,3,2,A_bird,2
2388-c,1438809903396,3,3,G_seal,3
2388-c,1438809913388,3,5,I_iceskater,4
2388-c,1438809920308,3,6,D_monk,5
2388-c,1438809926770,3,7,J_compact,6
2388-c,1438809935223,3,9,L_egypt,7
2388-c,1438809941450,3,10,E_bunny,8
2388-c,1438809949550,3,12,F_sadperson,9
2388-c,1438810000526,4,1,A_bird,1
2388-c,1438810004348,4,2,K_waiter,2
2388-c,1438810006870,4,3,E_bunny,3
2388-c,1438810018746,4,4,H_baby,4
2388-c,1438810020502,4,5,F_sadperson,5
2388-c,1438810022824,4,6,B_helpbunny,6
2388-c,1438810043504,4,7,L_egypt,7
2388-c,1438810045246,4,8,C_ghost,8
2388-c,1438810046777,4,10,D_monk,9
2388-c,1438810052636,4,12,G_seal,10
2388-c,1438810076058,5,1,A_bird,1
2388-c,1438810081565,5,2,K_waiter,2
2388-c,1438810083245,5,3,I_iceskater,3
2388-c,1438810091573,5,4,G_seal,4
2388-c,1438810093775,5,6,E_bunny,5
2388-c,1438810095425,5,8,B_helpbunny,6
2388-c,1438810104933,5,10,F_sadperson,8
2388-c,1438810107681,5,12,H_baby,9
2388-c,1438810136850,6,1,E_bunny,1
2388-c,1438810138816,6,3,C_ghost,2
2388-c,1438810140778,6,5,F_sadperson,3
2388-c,1438810154273,6,6,B_helpbunny,4
2388-c,1438810157159,6,7,I_iceskater,6
2388-c,1438810164753,6,8,J_compact,7
2388-c,1438810166495,6,9,L_egypt,8
2388-c,1438810169708,6,10,A_bird,9
2388-c,1438810174378,6,12,K_waiter,10
