gameid, time, roundNum, score, name, draggedTo
3423-d,1438804914787,1,0,I_iceskater,2
3423-d,1438804915673,1,0,I_iceskater,1
3423-d,1438804995248,1,1,D_monk,1
3423-d,1438805011071,1,1,C_ghost,2
3423-d,1438805073218,1,1,A_bird,3
3423-d,1438805206606,1,1,I_iceskater,4
3423-d,1438805298911,1,2,I_iceskater,8
3423-d,1438805393083,1,3,F_sadperson,11
3423-d,1438805519583,1,3,G_seal,4
3423-d,1438805597763,1,4,K_waiter,10
3423-d,1438805599159,1,5,L_egypt,12
3423-d,1438805694605,1,6,C_ghost,5
3423-d,1438805798390,1,6,B_helpbunny,3
3423-d,1438805945220,1,7,E_bunny,6
3423-d,1438806299928,1,9,G_seal,9
3423-d,1438806415497,2,1,D_monk,1
3423-d,1438806459669,2,2,G_seal,2
3423-d,1438806490256,2,3,E_bunny,3
3423-d,1438806622275,2,4,I_iceskater,5
3423-d,1438806693988,2,4,L_egypt,9
3423-d,1438806697834,2,4,L_egypt,9
3423-d,1438806697876,2,4,L_egypt,9
3423-d,1438806699239,2,5,K_waiter,6
3423-d,1438806704195,2,5,L_egypt,4
3423-d,1438806799032,2,6,H_baby,7
3423-d,1438806807122,2,5,C_ghost,7
3423-d,1438806809390,2,6,H_baby,7
3423-d,1438806811239,2,7,C_ghost,8
3423-d,1438806927576,2,8,B_helpbunny,9
3423-d,1438806983998,2,9,F_sadperson,10
3423-d,1438807056707,2,9,A_bird,11
3423-d,1438807266477,3,1,L_egypt,1
3423-d,1438807332335,3,1,B_helpbunny,2
3423-d,1438807334365,3,2,E_bunny,3
3423-d,1438807355726,3,3,F_sadperson,4
3423-d,1438807388558,3,4,D_monk,5
3423-d,1438807395898,3,5,H_baby,6
3423-d,1438807685643,3,4,L_egypt,7
3423-d,1438807727583,3,5,C_ghost,8
3423-d,1438807763640,3,5,L_egypt,9
3423-d,1438807777955,3,7,I_iceskater,10
3423-d,1438807897390,3,8,A_bird,12
3423-d,1438808046646,4,1,F_sadperson,1
3423-d,1438808064076,4,2,A_bird,2
3423-d,1438808086708,4,3,D_monk,3
3423-d,1438808135597,4,4,H_baby,4
3423-d,1438808158596,4,5,G_seal,5
3423-d,1438808221249,4,7,K_waiter,6
3423-d,1438808338258,4,8,L_egypt,8
3423-d,1438808347650,4,9,C_ghost,9
3423-d,1438808353037,4,10,E_bunny,10
3423-d,1438808361620,4,12,J_compact,11
3423-d,1438808435191,5,1,A_bird,2
3423-d,1438808441368,5,2,L_egypt,1
3423-d,1438808444357,5,4,C_ghost,3
3423-d,1438808458344,5,5,D_monk,4
3423-d,1438808462587,5,6,B_helpbunny,5
3423-d,1438808478083,5,7,F_sadperson,6
3423-d,1438808484635,5,8,J_compact,7
3423-d,1438808507351,5,10,K_waiter,8
3423-d,1438808557433,5,12,G_seal,10
3423-d,1438808589893,6,1,J_compact,1
3423-d,1438808612099,6,2,L_egypt,2
3423-d,1438808620642,6,2,F_sadperson,3
3423-d,1438808623174,6,4,F_sadperson,4
3423-d,1438808636316,6,5,D_monk,5
3423-d,1438808647548,6,6,G_seal,6
3423-d,1438808653539,6,7,I_iceskater,7
3423-d,1438808663228,6,8,E_bunny,8
3423-d,1438808673253,6,10,B_helpbunny,9
3423-d,1438808699615,6,12,K_waiter,10
