gameid, time, roundNum, score, name, draggedTo
2878-d,1438802347343,1,0,L_egypt,2
2878-d,1438802372197,1,0,F_sadperson,8
2878-d,1438802373498,1,0,B_helpbunny,9
2878-d,1438802416681,1,1,I_iceskater,5
2878-d,1438802443001,1,2,E_bunny,8
2878-d,1438802460225,1,3,F_sadperson,3
2878-d,1438802507555,1,3,C_ghost,10
2878-d,1438802587432,1,4,H_baby,2
2878-d,1438802625253,1,6,D_monk,9
2878-d,1438802671294,1,6,L_egypt,7
2878-d,1438802683204,1,8,L_egypt,11
2878-d,1438802865945,1,8,B_helpbunny,1
2878-d,1438802867345,1,8,B_helpbunny,1
2878-d,1438802915369,1,9,C_ghost,12
2878-d,1438802953108,2,1,F_sadperson,10
2878-d,1438802978535,2,1,C_ghost,9
2878-d,1438803019161,2,2,C_ghost,7
2878-d,1438803021031,2,3,I_iceskater,9
2878-d,1438803032386,2,4,A_bird,11
2878-d,1438803038008,2,5,B_helpbunny,12
2878-d,1438803049974,2,6,D_monk,6
2878-d,1438803068062,2,6,L_egypt,8
2878-d,1438803073217,2,7,E_bunny,3
2878-d,1438803134065,2,8,G_seal,2
2878-d,1438803204469,2,10,G_seal,5
2878-d,1438803333631,3,1,I_iceskater,12
2878-d,1438803342882,3,3,E_bunny,9
2878-d,1438803357426,3,3,H_baby,4
2878-d,1438803358281,3,2,H_baby,10
2878-d,1438803369492,3,3,F_sadperson,5
2878-d,1438803387900,3,4,A_bird,2
2878-d,1438803402062,3,4,L_egypt,1
2878-d,1438803411082,3,5,D_monk,6
2878-d,1438803423162,3,6,C_ghost,8
2878-d,1438803435664,3,8,B_helpbunny,7
2878-d,1438803466673,3,7,J_compact,3
2878-d,1438803517586,3,7,K_waiter,11
2878-d,1438803518497,3,7,E_bunny,9
2878-d,1438803521396,3,7,K_waiter,10
2878-d,1438803540869,3,7,K_waiter,11
2878-d,1438803561730,4,2,B_helpbunny,11
2878-d,1438803576671,4,1,H_baby,5
2878-d,1438803583648,4,2,E_bunny,1
2878-d,1438803592632,4,3,I_iceskater,3
2878-d,1438803601782,4,4,D_monk,2
2878-d,1438803608766,4,4,L_egypt,12
2878-d,1438803618281,4,5,A_bird,7
2878-d,1438803628389,4,6,F_sadperson,8
2878-d,1438803640453,4,8,C_ghost,9
2878-d,1438803691566,4,8,K_waiter,10
2878-d,1438803701567,4,8,K_waiter,10
2878-d,1438803706073,4,8,B_helpbunny,11
2878-d,1438803707018,4,8,K_waiter,10
2878-d,1438803708688,4,8,K_waiter,10
2878-d,1438803708847,4,8,K_waiter,10
2878-d,1438803709049,4,8,K_waiter,10
2878-d,1438803711310,4,8,F_sadperson,8
2878-d,1438803713554,4,8,K_waiter,10
2878-d,1438803735223,5,0,H_baby,1
2878-d,1438803744716,5,2,I_iceskater,9
2878-d,1438803768253,5,3,C_ghost,8
2878-d,1438803779679,5,4,F_sadperson,11
2878-d,1438803780855,5,4,J_compact,3
2878-d,1438803830940,5,4,J_compact,3
2878-d,1438803841032,5,4,J_compact,3
2878-d,1438803879333,5,4,E_bunny,4
2878-d,1438803880185,5,4,J_compact,3
2878-d,1438803885609,5,5,J_compact,4
2878-d,1438803892382,5,5,E_bunny,3
2878-d,1438803895010,5,6,E_bunny,6
2878-d,1438803910953,5,6,L_egypt,7
2878-d,1438803920488,5,7,B_helpbunny,3
2878-d,1438803959425,5,7,K_waiter,10
2878-d,1438803966921,5,7,D_monk,12
2878-d,1438803968018,5,7,D_monk,12
2878-d,1438803992297,5,9,D_monk,5
2878-d,1438804018997,6,1,A_bird,12
2878-d,1438804041676,6,2,C_ghost,5
2878-d,1438804050616,6,3,F_sadperson,7
2878-d,1438804059913,6,5,I_iceskater,6
2878-d,1438804071531,6,4,H_baby,8
2878-d,1438804079941,6,5,B_helpbunny,10
2878-d,1438804091726,6,6,E_bunny,3
2878-d,1438804126205,6,8,D_monk,1
2878-d,1438804132599,6,9,L_egypt,9
2878-d,1438804175590,6,7,J_compact,4
