gameid, time, roundNum, score, name, draggedTo
3409-e,1438802639831,1,1,L_egypt,1
3409-e,1438802671172,1,2,F_sadperson,2
3409-e,1438802750353,1,2,B_helpbunny,3
3409-e,1438802826904,1,3,J_compact,4
3409-e,1438802902679,1,3,A_bird,5
3409-e,1438802947036,1,4,E_bunny,12
3409-e,1438802971957,1,4,I_iceskater,11
3409-e,1438803034150,1,5,D_monk,10
3409-e,1438803068109,1,6,K_waiter,5
3409-e,1438803130888,1,7,I_iceskater,8
3409-e,1438803163569,1,8,C_ghost,9
3409-e,1438803291814,1,7,I_iceskater,11
3409-e,1438803373990,1,8,H_baby,6
3409-e,1438803463417,1,9,B_helpbunny,7
3409-e,1438803688430,1,9,G_seal,8
3409-e,1438803805060,1,10,G_seal,3
3409-e,1438803853438,1,8,B_helpbunny,6
3409-e,1438804024721,2,1,F_sadperson,1
3409-e,1438804058842,2,2,E_bunny,6
3409-e,1438804068388,2,2,B_helpbunny,8
3409-e,1438804077231,2,3,B_helpbunny,5
3409-e,1438804096209,2,4,D_monk,7
3409-e,1438804109991,2,3,H_baby,9
3409-e,1438804122327,2,4,C_ghost,11
3409-e,1438804149472,2,5,L_egypt,12
3409-e,1438804204189,2,6,H_baby,10
3409-e,1438804231733,2,7,J_compact,7
3409-e,1438804242837,2,9,I_iceskater,8
3409-e,1438804648237,2,10,D_monk,4
3409-e,1438805505501,3,1,E_bunny,7
3409-e,1438805519303,3,2,I_iceskater,6
3409-e,1438805535427,3,3,C_ghost,5
3409-e,1438805569607,3,4,F_sadperson,1
3409-e,1438805588350,3,5,B_helpbunny,4
3409-e,1438805610106,3,6,H_baby,8
3409-e,1438805627257,3,7,A_bird,2
3409-e,1438805654185,3,8,L_egypt,10
3409-e,1438805708496,3,9,K_waiter,12
3409-e,1438805757918,3,10,D_monk,3
3409-e,1438805767224,3,12,J_compact,9
3409-e,1438806259501,4,2,J_compact,3
3409-e,1438806307141,4,3,G_seal,7
3409-e,1438806318388,4,4,C_ghost,8
3409-e,1438806336475,4,5,B_helpbunny,10
3409-e,1438806364226,4,6,K_waiter,12
3409-e,1438806384386,4,8,H_baby,4
3409-e,1438806416355,4,9,A_bird,6
3409-e,1438806435241,4,10,F_sadperson,11
3409-e,1438806450931,4,12,E_bunny,9
3409-e,1438806512833,5,1,E_bunny,12
3409-e,1438806517452,5,2,C_ghost,6
3409-e,1438806548677,5,3,D_monk,1
3409-e,1438806559762,5,4,J_compact,5
3409-e,1438806594118,5,5,F_sadperson,3
3409-e,1438806598115,5,6,B_helpbunny,7
3409-e,1438806638021,5,7,H_baby,10
3409-e,1438806643582,5,8,K_waiter,9
3409-e,1438806670684,5,10,A_bird,11
3409-e,1438806725893,5,12,L_egypt,4
3409-e,1438806774366,6,1,A_bird,9
3409-e,1438806778426,6,3,I_iceskater,2
3409-e,1438806804639,6,4,B_helpbunny,12
3409-e,1438806811042,6,6,E_bunny,11
3409-e,1438806850519,6,7,K_waiter,7
3409-e,1438806859255,6,8,L_egypt,10
3409-e,1438806889770,6,10,F_sadperson,1
3409-e,1438806895704,6,12,H_baby,3
