gameid,time,roundNum,score,name,draggedTo
4927-0,1438964367957,1,0,J_compact,2
4927-0,1438964368012,1,0,J_compact,2
4927-0,1438964425852,1,0,B_helpbunny,4
4927-0,1438964452402,1,1,B_helpbunny,1
4927-0,1438964477651,1,1,J_compact,2
4927-0,1438964549227,1,2,G_seal,2
4927-0,1438964584603,1,2,C_ghost,3
4927-0,1438964647789,1,3,E_bunny,3
4927-0,1438964647867,1,3,E_bunny,3
4927-0,1438964748524,1,4,L_egypt,5
4927-0,1438964748635,1,4,L_egypt,5
4927-0,1438964785235,1,5,I_iceskater,6
4927-0,1438964829544,1,6,K_waiter,7
4927-0,1438964840076,1,6,A_bird,8
4927-0,1438964855444,1,7,F_sadperson,8
4927-0,1438964868540,1,7,A_bird,9
4927-0,1438964869772,1,7,D_monk,10
4927-0,1438964874965,1,7,A_bird,9
4927-0,1438964946653,1,8,A_bird,12
4927-0,1438964953861,1,9,C_ghost,10
4927-0,1438964980324,1,9,D_monk,9
4927-0,1438964989744,1,10,D_monk,11
4927-0,1438965031903,1,12,H_baby,2
4927-0,1438965104169,2,1,B_helpbunny,1
4927-0,1438965118637,2,2,D_monk,2
4927-0,1438965140414,2,3,C_ghost,3
4927-0,1438965140517,2,3,C_ghost,3
4927-0,1438965152173,2,3,L_egypt,4
4927-0,1438965156412,2,4,F_sadperson,4
4927-0,1438965174077,2,5,I_iceskater,5
4927-0,1438965216333,2,7,L_egypt,6
4927-0,1438965246448,2,8,J_compact,7
4927-0,1438965255911,2,9,A_bird,8
4927-0,1438965269374,2,10,G_seal,9
4927-0,1438965288816,2,10,H_baby,11
4927-0,1438965299245,2,12,K_waiter,11
4927-0,1438965357671,3,1,L_egypt,1
4927-0,1438965380799,3,2,D_monk,2
4927-0,1438965393399,3,3,I_iceskater,3
4927-0,1438965402423,3,4,E_bunny,4
4927-0,1438965412649,3,5,J_compact,5
4927-0,1438965422483,3,6,B_helpbunny,6
4927-0,1438965435222,3,7,A_bird,7
4927-0,1438965443207,3,8,F_sadperson,8
4927-0,1438965450730,3,10,H_baby,9
4927-0,1438965468715,3,12,K_waiter,11
4927-0,1438965498544,4,1,F_sadperson,1
4927-0,1438965504831,4,2,C_ghost,2
4927-0,1438965513263,4,3,J_compact,3
4927-0,1438965526127,4,4,D_monk,4
4927-0,1438965529353,4,5,G_seal,5
4927-0,1438965533663,4,6,H_baby,6
4927-0,1438965542016,4,7,I_iceskater,7
4927-0,1438965549296,4,9,L_egypt,8
4927-0,1438965560759,4,10,A_bird,10
4927-0,1438965560791,4,10,A_bird,10
4927-0,1438965565303,4,12,B_helpbunny,11
4927-0,1438965593751,5,0,I_iceskater,1
4927-0,1438965599764,5,1,L_egypt,2
4927-0,1438965602241,5,2,A_bird,1
4927-0,1438965605328,5,4,J_compact,3
4927-0,1438965616096,5,5,D_monk,4
4927-0,1438965620793,5,6,H_baby,5
4927-0,1438965632911,5,7,K_waiter,6
4927-0,1438965643048,5,8,C_ghost,7
4927-0,1438965659248,5,10,I_iceskater,9
4927-0,1438965662720,5,12,B_helpbunny,10
4927-0,1438965687465,6,1,L_egypt,1
4927-0,1438965695499,6,2,C_ghost,2
4927-0,1438965699507,6,3,F_sadperson,3
4927-0,1438965702007,6,4,B_helpbunny,4
4927-0,1438965706351,6,5,K_waiter,5
4927-0,1438965712871,6,6,I_iceskater,6
4927-0,1438965715995,6,7,H_baby,7
4927-0,1438965720376,6,8,J_compact,8
4927-0,1438965732112,6,9,A_bird,9
4927-0,1438965733794,6,10,E_bunny,10
4927-0,1438965736671,6,12,G_seal,11
