gameid,time,roundNum,score,name,draggedTo
5204-4,1438962985251,1,0,E_bunny,3
5204-4,1438963088401,1,0,D_monk,1
5204-4,1438963146071,1,1,B_helpbunny,1
5204-4,1438963162561,1,2,A_bird,2
5204-4,1438963219723,1,4,I_iceskater,3
5204-4,1438963270551,1,5,L_egypt,4
5204-4,1438963303702,1,6,K_waiter,5
5204-4,1438963361480,1,7,J_compact,6
5204-4,1438963417296,1,8,H_baby,7
5204-4,1438963645040,1,7,B_helpbunny,8
5204-4,1438963910399,1,8,D_monk,9
5204-4,1438963953295,1,8,G_seal,1
5204-4,1438964033585,1,10,F_sadperson,10
5204-4,1438964139813,2,1,E_bunny,1
5204-4,1438964169789,2,2,K_waiter,2
5204-4,1438964231550,2,4,F_sadperson,3
5204-4,1438964251403,2,5,C_ghost,4
5204-4,1438964264689,2,7,J_compact,5
5204-4,1438964298767,2,9,A_bird,6
5204-4,1438964399786,2,10,B_helpbunny,8
5204-4,1438964494317,2,12,D_monk,9
5204-4,1438964597711,3,1,D_monk,1
5204-4,1438964636281,3,2,L_egypt,2
5204-4,1438964644142,3,3,A_bird,3
5204-4,1438964666929,3,4,B_helpbunny,4
5204-4,1438964682947,3,5,I_iceskater,5
5204-4,1438964700154,3,6,K_waiter,6
5204-4,1438964709899,3,7,C_ghost,7
5204-4,1438964723428,3,8,E_bunny,8
5204-4,1438964740324,3,9,F_sadperson,9
5204-4,1438964746315,3,10,H_baby,10
5204-4,1438964753910,3,12,G_seal,11
5204-4,1438964814779,4,1,L_egypt,1
5204-4,1438964831429,4,2,K_waiter,2
5204-4,1438964846686,4,3,I_iceskater,3
5204-4,1438964851718,4,4,A_bird,4
5204-4,1438964870247,4,4,B_helpbunny,5
5204-4,1438964876526,4,5,G_seal,6
5204-4,1438964898119,4,6,D_monk,7
5204-4,1438964907695,4,7,E_bunny,8
5204-4,1438964922257,4,8,B_helpbunny,9
5204-4,1438964952383,4,9,J_compact,5
5204-4,1438965024642,4,10,C_ghost,10
5204-4,1438965032650,4,12,H_baby,11
5204-4,1438965060523,5,2,C_ghost,1
5204-4,1438965069006,5,3,H_baby,2
5204-4,1438965075303,5,4,J_compact,3
5204-4,1438965092996,5,5,D_monk,4
5204-4,1438965110004,5,6,E_bunny,5
5204-4,1438965122124,5,7,B_helpbunny,6
5204-4,1438965140215,5,8,L_egypt,7
5204-4,1438965152518,5,9,G_seal,8
5204-4,1438965176296,5,9,K_waiter,9
5204-4,1438965186407,5,10,I_iceskater,10
5204-4,1438965191930,5,12,A_bird,11
5204-4,1438965224425,6,1,J_compact,1
5204-4,1438965240999,6,2,L_egypt,2
5204-4,1438965242736,6,3,H_baby,3
5204-4,1438965256186,6,4,K_waiter,4
5204-4,1438965264185,6,5,B_helpbunny,5
5204-4,1438965273650,6,6,F_sadperson,6
5204-4,1438965286944,6,7,A_bird,7
5204-4,1438965302586,6,7,D_monk,8
5204-4,1438965324313,6,8,D_monk,9
5204-4,1438965326420,6,9,I_iceskater,10
5204-4,1438965328836,6,10,G_seal,8
5204-4,1438965371451,6,12,C_ghost,11
