gameid,time,roundNum,score,name,draggedTo
1490-f,1438969189263,1,0,H_baby,1
1490-f,1438969257883,1,1,J_compact,1
1490-f,1438969284854,1,2,L_egypt,2
1490-f,1438969307898,1,2,D_monk,3
1490-f,1438969402602,1,2,K_waiter,4
1490-f,1438969420466,1,3,K_waiter,3
1490-f,1438969439346,1,3,D_monk,4
1490-f,1438969441422,1,3,D_monk,4
1490-f,1438969458227,1,4,H_baby,5
1490-f,1438969482635,1,5,E_bunny,6
1490-f,1438969491622,1,6,C_ghost,7
1490-f,1438969514170,1,7,F_sadperson,8
1490-f,1438969535659,1,8,I_iceskater,9
1490-f,1438969551092,1,8,B_helpbunny,10
1490-f,1438969563649,1,10,A_bird,11
1490-f,1438969629238,2,2,J_compact,1
1490-f,1438969656926,2,3,B_helpbunny,2
1490-f,1438969675594,2,4,F_sadperson,3
1490-f,1438969696760,2,6,L_egypt,4
1490-f,1438969706897,2,7,K_waiter,5
1490-f,1438969715897,2,8,G_seal,6
1490-f,1438969733506,2,9,C_ghost,7
1490-f,1438969793065,2,10,A_bird,8
1490-f,1438969807033,2,12,H_baby,9
1490-f,1438969858423,3,1,D_monk,1
1490-f,1438969865955,3,2,G_seal,2
1490-f,1438969878326,3,3,B_helpbunny,3
1490-f,1438969891524,3,4,A_bird,4
1490-f,1438969917648,3,5,K_waiter,5
1490-f,1438969923256,3,6,L_egypt,6
1490-f,1438969931796,3,7,H_baby,7
1490-f,1438969944423,3,8,C_ghost,8
1490-f,1438969954607,3,9,F_sadperson,9
1490-f,1438969959651,3,10,E_bunny,10
1490-f,1438969970537,3,12,I_iceskater,11
1490-f,1438969987640,4,1,H_baby,1
1490-f,1438969997859,4,2,K_waiter,2
1490-f,1438969998896,4,4,L_egypt,3
1490-f,1438970011206,4,5,I_iceskater,4
1490-f,1438970023821,4,6,J_compact,5
1490-f,1438970027927,4,7,G_seal,6
1490-f,1438970046254,4,8,D_monk,8
1490-f,1438970051014,4,9,E_bunny,9
1490-f,1438970057448,4,10,A_bird,10
1490-f,1438970068072,4,12,B_helpbunny,11
1490-f,1438970096246,5,1,B_helpbunny,1
1490-f,1438970101824,5,3,E_bunny,2
1490-f,1438970106190,5,4,G_seal,3
1490-f,1438970112653,5,5,L_egypt,4
1490-f,1438970117130,5,6,A_bird,5
1490-f,1438970126390,5,6,D_monk,6
1490-f,1438970133823,5,8,H_baby,7
1490-f,1438970150470,5,9,J_compact,9
1490-f,1438970155460,5,10,C_ghost,10
1490-f,1438970162319,5,12,I_iceskater,11
1490-f,1438970183073,6,1,L_egypt,1
1490-f,1438970186951,6,2,H_baby,2
1490-f,1438970193239,6,3,D_monk,3
1490-f,1438970199513,6,4,J_compact,4
1490-f,1438970203314,6,5,A_bird,5
1490-f,1438970208599,6,6,G_seal,6
1490-f,1438970215187,6,7,F_sadperson,7
1490-f,1438970222053,6,8,I_iceskater,8
1490-f,1438970226238,6,9,C_ghost,9
1490-f,1438970259322,6,9,K_waiter,11
1490-f,1438970259328,6,10,K_waiter,10
1490-f,1438970259329,6,10,K_waiter,10
1490-f,1438970259330,6,9,E_bunny,10
1490-f,1438970259330,6,9,K_waiter,11
1490-f,1438970259332,6,9,E_bunny,10
1490-f,1438970259350,6,9,E_bunny,10
1490-f,1438970263944,6,10,B_helpbunny,11
1490-f,1438970264899,6,12,K_waiter,10
