gameid, time, roundNum, score, name, draggedTo
3891-4,1438803422664,1,0,G_seal,5
3891-4,1438803485074,1,1,A_bird,1
3891-4,1438803508910,1,2,I_iceskater,2
3891-4,1438803543420,1,3,L_egypt,3
3891-4,1438803583023,1,3,H_baby,4
3891-4,1438803613633,1,4,F_sadperson,5
3891-4,1438803639394,1,4,K_waiter,6
3891-4,1438803720936,1,5,G_seal,7
3891-4,1438803733484,1,6,E_bunny,8
3891-4,1438803776328,1,7,B_helpbunny,9
3891-4,1438803792404,1,8,C_ghost,10
3891-4,1438803821877,1,9,D_monk,11
3891-4,1438803883727,2,1,L_egypt,1
3891-4,1438803905889,2,2,K_waiter,2
3891-4,1438803949002,2,3,C_ghost,3
3891-4,1438803979123,2,3,E_bunny,5
3891-4,1438803980546,2,4,E_bunny,4
3891-4,1438804014396,2,5,F_sadperson,5
3891-4,1438804058637,2,5,H_baby,6
3891-4,1438804071842,2,5,H_baby,12
3891-4,1438804115263,2,7,D_monk,7
3891-4,1438804164149,2,6,I_iceskater,8
3891-4,1438804191179,2,7,I_iceskater,9
3891-4,1438804192936,2,7,A_bird,8
3891-4,1438804225871,2,7,A_bird,10
3891-4,1438804341507,2,8,H_baby,11
3891-4,1438804488888,2,8,B_helpbunny,6
3891-4,1438804513152,2,8,B_helpbunny,12
3891-4,1438804549005,3,0,K_waiter,1
3891-4,1438804566952,3,1,H_baby,2
3891-4,1438804617487,3,2,E_bunny,4
3891-4,1438804642147,3,3,F_sadperson,10
3891-4,1438804655791,3,4,C_ghost,7
3891-4,1438804676056,3,4,L_egypt,8
3891-4,1438804700549,3,6,D_monk,9
3891-4,1438804752126,3,7,I_iceskater,12
3891-4,1438805025204,4,1,E_bunny,3
3891-4,1438805045157,4,2,I_iceskater,9
3891-4,1438805059416,4,3,H_baby,5
3891-4,1438805082953,4,3,K_waiter,1
3891-4,1438805102291,4,3,L_egypt,8
3891-4,1438805111831,4,3,A_bird,6
3891-4,1438805123132,4,4,C_ghost,11
3891-4,1438805140728,4,6,F_sadperson,10
3891-4,1438805162023,4,5,B_helpbunny,4
3891-4,1438805179245,4,6,D_monk,12
3891-4,1438805201303,4,7,J_compact,2
3891-4,1438805249224,5,1,E_bunny,11
3891-4,1438805305772,5,2,G_seal,7
3891-4,1438805315093,5,4,C_ghost,8
3891-4,1438805327002,5,3,A_bird,10
3891-4,1438805346130,5,2,B_helpbunny,7
3891-4,1438805348804,5,3,B_helpbunny,9
3891-4,1438805351446,5,2,B_helpbunny,8
3891-4,1438805355748,5,3,B_helpbunny,9
3891-4,1438805357110,5,3,B_helpbunny,5
3891-4,1438805360756,5,3,B_helpbunny,6
3891-4,1438805405202,5,4,L_egypt,12
3891-4,1438805424285,5,5,K_waiter,4
3891-4,1438805440407,5,6,H_baby,2
3891-4,1438805458600,5,7,F_sadperson,1
3891-4,1438805475903,5,8,D_monk,3
3891-4,1438805499064,5,9,I_iceskater,9
3891-4,1438805552531,6,1,F_sadperson,3
3891-4,1438805582662,6,1,K_waiter,4
3891-4,1438805610113,6,1,G_seal,11
3891-4,1438805621995,6,2,H_baby,8
3891-4,1438805638272,6,2,B_helpbunny,6
3891-4,1438805663320,6,3,J_compact,10
3891-4,1438805675505,6,5,C_ghost,7
3891-4,1438805713096,6,6,I_iceskater,5
3891-4,1438805728132,6,6,A_bird,12
3891-4,1438805754409,6,7,L_egypt,9
