gameid, time, roundNum, score, name, draggedTo
3682-d,1438802922347,1,1,F_sadperson,12
3682-d,1438802950661,1,2,E_bunny,11
3682-d,1438803003156,1,3,G_seal,10
3682-d,1438803094142,1,4,J_compact,1
3682-d,1438803143108,1,5,B_helpbunny,2
3682-d,1438803143387,1,5,B_helpbunny,2
3682-d,1438803192007,1,7,A_bird,3
3682-d,1438803228022,1,8,C_ghost,4
3682-d,1438803265672,1,9,D_monk,5
3682-d,1438803293008,1,10,I_iceskater,6
3682-d,1438803351198,1,9,K_waiter,7
3682-d,1438803441920,1,8,B_helpbunny,8
3682-d,1438803593699,2,1,E_bunny,8
3682-d,1438803593990,2,1,E_bunny,8
3682-d,1438803616333,2,2,C_ghost,7
3682-d,1438803651476,2,4,H_baby,9
3682-d,1438803679351,2,5,A_bird,10
3682-d,1438803679653,2,5,A_bird,10
3682-d,1438803720471,2,6,K_waiter,11
3682-d,1438803720770,2,6,K_waiter,11
3682-d,1438803748565,2,6,D_monk,12
3682-d,1438803777098,2,7,I_iceskater,1
3682-d,1438803777358,2,7,I_iceskater,1
3682-d,1438803819446,2,7,L_egypt,2
3682-d,1438803866363,2,8,B_helpbunny,3
3682-d,1438803894511,2,10,J_compact,4
3682-d,1438803928612,2,10,G_seal,6
3682-d,1438803931845,2,10,G_seal,6
3682-d,1438803990606,3,1,F_sadperson,12
3682-d,1438804003335,3,2,H_baby,11
3682-d,1438804012630,3,3,E_bunny,10
3682-d,1438804023807,3,4,C_ghost,9
3682-d,1438804031397,3,5,A_bird,8
3682-d,1438804064331,3,6,J_compact,7
3682-d,1438804086353,3,7,D_monk,6
3682-d,1438804125187,3,8,B_helpbunny,4
3682-d,1438804143293,3,9,I_iceskater,3
3682-d,1438804165169,3,10,L_egypt,2
3682-d,1438804218611,4,1,K_waiter,1
3682-d,1438804226569,4,1,C_ghost,4
3682-d,1438804231255,4,2,A_bird,2
3682-d,1438804235255,4,4,E_bunny,3
3682-d,1438804251556,4,5,B_helpbunny,4
3682-d,1438804279357,4,6,H_baby,5
3682-d,1438804289177,4,7,D_monk,6
3682-d,1438804304486,4,8,F_sadperson,7
3682-d,1438804346275,4,10,C_ghost,9
3682-d,1438804444614,5,1,B_helpbunny,1
3682-d,1438804447294,5,2,G_seal,2
3682-d,1438804451688,5,3,I_iceskater,3
3682-d,1438804458199,5,4,A_bird,4
3682-d,1438804458479,5,4,A_bird,4
3682-d,1438804461442,5,5,E_bunny,5
3682-d,1438804467584,5,6,F_sadperson,6
3682-d,1438804526632,5,7,D_monk,7
3682-d,1438804526970,5,7,D_monk,7
3682-d,1438804530994,5,8,C_ghost,8
3682-d,1438804566690,5,9,H_baby,12
3682-d,1438804578026,5,10,J_compact,11
3682-d,1438804594713,5,9,J_compact,10
3682-d,1438804660405,6,1,E_bunny,1
3682-d,1438804660701,6,1,E_bunny,1
3682-d,1438804664416,6,2,C_ghost,2
3682-d,1438804668361,6,3,I_iceskater,3
3682-d,1438804668655,6,3,I_iceskater,3
3682-d,1438804677032,6,4,A_bird,4
3682-d,1438804709732,6,4,L_egypt,5
3682-d,1438804717158,6,5,K_waiter,6
3682-d,1438804717414,6,5,K_waiter,6
3682-d,1438804737366,6,6,D_monk,7
3682-d,1438804746187,6,7,J_compact,8
3682-d,1438804749520,6,8,B_helpbunny,9
3682-d,1438804757525,6,10,H_baby,10
