gameid,time,roundNum,sender,contents
9409-4,1438965046669,1,matcher,"Woot."
9409-4,1438965049542,1,director,"Hi!"
9409-4,1438965055986,1,matcher,"Hey!"
9409-4,1438965058942,1,director,"1. Looks like someone praying~~~"
9409-4,1438965077639,1,director,"And the "legs" are not pointed up."
9409-4,1438965083676,1,matcher,"praying with hands to our left?"
9409-4,1438965089694,1,director,"To the right."
9409-4,1438965096872,1,matcher,"got it"
9409-4,1438965117943,1,director,"2. Head to the left, really thick left "leg" out to the side~~~"
9409-4,1438965124117,1,director,"Tiny triangle right leg."
9409-4,1438965137250,1,matcher,"hmm"
9409-4,1438965158446,1,director,"Right "arm" and "leg" are little triangles."
9409-4,1438965166994,1,matcher,"our right, or his right?"
9409-4,1438965179370,1,matcher,"oh, i got it, sorry"
9409-4,1438965182988,1,director,"NP"
9409-4,1438965184046,1,matcher,"go ahead"
9409-4,1438965202510,1,director,"3. Head to our right, leg (to our left) is lifted~~~"
9409-4,1438965214771,1,matcher,"good to go"
9409-4,1438965216528,1,director,""Arms" are together to our left and pointing down."
9409-4,1438965231141,1,director,"4. Sort of looks like someone swimming~~~ Both arms in the air~~~"
9409-4,1438965237657,1,director,"Body rectangular."
9409-4,1438965249340,1,matcher,"got it"
9409-4,1438965258156,1,director,"5. Looks a lot like a rabbit~~~"
9409-4,1438965266195,1,matcher,"perfect"
9409-4,1438965286325,1,director,"6. Arms/legs not really visible~~~"
9409-4,1438965298093,1,matcher,"sort of like a sack?"
9409-4,1438965302588,1,director,"Totally!"
9409-4,1438965304282,1,matcher,"got it"
9409-4,1438965323094,1,director,"7. Another praying, arms to our right, but "legs" point up in a tip~~~"
9409-4,1438965331932,1,matcher,"perfect, got it"
9409-4,1438965351852,1,director,"8. Kind of looks like abstract shapes~~~ Diamond on top of two triangles~~~"
9409-4,1438965359877,1,director,"On top of like a rock."
9409-4,1438965362748,1,director,"Just visibly."
9409-4,1438965383690,1,matcher,"sort of like on knees with arms/wings out to sides?"
9409-4,1438965393802,1,director,"Yeah, that's a better description."
9409-4,1438965403923,1,director,"9. Sitting, legs facing our left~~~"
9409-4,1438965413979,1,matcher,"got it"
9409-4,1438965428035,1,director,"10. Standing, arms together to the left~~~ Looks almost like wearing a robe~~~"
9409-4,1438965436813,1,matcher,"perfect, got it"
9409-4,1438965442683,1,director,"(If I reference a direction it's to "us")"
9409-4,1438965447058,1,director,"11. Ballerina!"
9409-4,1438965449146,1,matcher,"sounds good"
9409-4,1438965452818,1,matcher,"LOL"
9409-4,1438965454212,1,matcher,"got it"
9409-4,1438965454933,1,director,"LOL"
9409-4,1438965465952,1,matcher,"ready to submit?"
9409-4,1438965467445,1,director,"12. Little pointy arm to the right~~~"
9409-4,1438965472989,1,director,"Just checking on 12?"
9409-4,1438965475702,1,matcher,"oh yes, just to confirm, that is what I have on 12"
9409-4,1438965479289,1,matcher,"ready?"
9409-4,1438965480802,1,director,"Good to go."
9409-4,1438965486277,2,matcher,"sweet"
9409-4,1438965507647,2,director,"K."
9409-4,1438965513029,2,director,"Let's do easier ones first."
9409-4,1438965515922,2,matcher,"got it"
9409-4,1438965517591,2,director,"10. Bunny rabbit"
9409-4,1438965521415,2,director,"11. Ballerina!"
9409-4,1438965535547,2,matcher,"keep going, we'll assign one word names to the rest"
9409-4,1438965536993,2,director,"2. Sitting, legs facing left~~~"
9409-4,1438965549898,2,matcher,"got it"
9409-4,1438965559292,2,director,"1. Arms together to the left, legs together~~~ Looks like wearing a robe~~~"
9409-4,1438965565308,2,matcher,"got it"
9409-4,1438965574791,2,director,"From now on I'm gonna call that one "priest" b/c it reminds me of someone in a religious position."
9409-4,1438965582443,2,matcher,"sounds good"
9409-4,1438965592134,2,director,"Let's see."
9409-4,1438965608318,2,director,"3. Kind of abstract shapes like a rock formation~~~"
9409-4,1438965616757,2,matcher,"got it"
9409-4,1438965618096,2,director,"Diamond head, You said wings last time I think."
9409-4,1438965620937,2,matcher,"yep"
9409-4,1438965621158,2,director,"That one will be wings."
9409-4,1438965626883,2,matcher,"roger"
9409-4,1438965649687,2,matcher,"please forgive one word responses, just faster on my end since you have to do all the talking!"
9409-4,1438965657776,2,director,"4. Very square except for pointy arm and leg to the right~~~"
9409-4,1438965667112,2,director,"Almost like they were leaning on a wall or something."
9409-4,1438965667137,2,matcher,"got it"
9409-4,1438965670527,2,director,"All good!"
9409-4,1438965694649,2,director,"5. I didn't describe it this way last time but it looks like a ghost~~~ Hands up, leaning far to the left~~~"
9409-4,1438965699014,2,director,""Legs" together."
9409-4,1438965709350,2,matcher,"got it, call it ghost"
9409-4,1438965712206,2,director,"Ghost."
9409-4,1438965721765,2,director,"6. Huge left leg~~~"
9409-4,1438965726879,2,director,"Tiny triangle right leg."
9409-4,1438965732300,2,matcher,"got it"
9409-4,1438965753504,2,director,"7. Praying, arms right, legs don't have a tip pointing up~~~"
9409-4,1438965764954,2,director,"8. Legs/arms to the left, head to the right~~~"
9409-4,1438965770580,2,matcher,"got them"
9409-4,1438965783038,2,director,"8. No visible arms or legs~~~"
9409-4,1438965791200,2,director,"Diamond head."
9409-4,1438965796147,2,director,"Gravestone."
9409-4,1438965798494,2,matcher,"wait, for 8?"
9409-4,1438965803692,2,director,"Oops, 9!"
9409-4,1438965808008,2,director,"My bad. :-)"
9409-4,1438965811706,2,matcher,"NP"
9409-4,1438965816996,2,director,"Kind of like a gravestone with a diamond on  top."
9409-4,1438965821390,2,matcher,"got it"
9409-4,1438965823982,2,director,"And a small shadow under it."
9409-4,1438965833972,2,director,"12. Person praying with arms right~~~"
9409-4,1438965836586,2,matcher,"check 12, praying with legs with a tip to the left"
9409-4,1438965838392,2,director,"Pointy legs."
9409-4,1438965839740,2,matcher,"yep, got it"
9409-4,1438965840029,2,director,"Yep."
9409-4,1438965843860,2,matcher,"good to submit?"
9409-4,1438965847439,2,director,"Yep!"
9409-4,1438965851765,3,director,"GJ!"
9409-4,1438965852411,3,matcher,"Nice"
9409-4,1438965858461,3,matcher,"Well done on your part."
9409-4,1438965863987,3,director,"You, too."
9409-4,1438965865956,3,director,"K."
9409-4,1438965870168,3,director,"Easy ones with names first."
9409-4,1438965872903,3,matcher,"go"
9409-4,1438965873947,3,director,"2. Bunny rabbit"
9409-4,1438965881166,3,director,"4. Gravestone with diamond on top"
9409-4,1438965886571,3,director,"6. "Wings""
9409-4,1438965892205,3,director,"7. Ballerina!"
9409-4,1438965900261,3,director,"8. Person sitting with legs facing left"
9409-4,1438965908132,3,director,"9. "Priest""
9409-4,1438965913421,3,director,"If you forget any of these tell me."
9409-4,1438965916458,3,director,"10. Ghost"
9409-4,1438965926139,3,matcher,"on a roll"
9409-4,1438965938290,3,matcher,"got all those"
9409-4,1438965938347,3,director,"1. Praying, pointy legs up"
9409-4,1438965955419,3,director,"5. Praying with slanted rectangle legs"
9409-4,1438965971388,3,director,"3. Huge left leg, tiny little arm to the right~~~"
9409-4,1438965977171,3,director,"From now on that one is "bellbottoms""
9409-4,1438965980758,3,matcher,"LOL"
9409-4,1438965983044,3,director,"LOL"
9409-4,1438965995065,3,matcher,"looks like interpretative dance to me!"
9409-4,1438965998181,3,director,"12. Leaning on a wall person"
9409-4,1438966004672,3,director,"It does look like a dance."
9409-4,1438966012364,3,director,"But 11 does as well --- arms and legs left, head right."
9409-4,1438966033676,3,matcher,"let's revisit 12"
9409-4,1438966050025,3,director,"12. Diamond head, tiny little arm and leg pointing to the right~~~"
9409-4,1438966057596,3,matcher,"got it, thanks"
9409-4,1438966060193,3,director,"Looks kind of like it's leaning on a wall."
9409-4,1438966060267,3,matcher,"is that everyone"
9409-4,1438966067237,3,director,"I mean it's a leaning pose."
9409-4,1438966068742,3,director,"I think so."
9409-4,1438966068775,3,matcher,"oh, gotcha"
9409-4,1438966084565,3,matcher,"ready to submit?"
9409-4,1438966088849,3,director,"Yep!"
9409-4,1438966095948,4,director,":-)"
