gameid,time,roundNum,sender,contents
8762-d,1438966572737,1,matcher,"hey"
8762-d,1438966593732,1,director,"first box has a person sitting facing forward, no limbs showing, sitting on legs"
8762-d,1438966611104,1,matcher,"ok"
8762-d,1438966637750,1,director,"box 7 has a person sitting against a wall, facing down, legs at bent"
8762-d,1438966651438,1,matcher,"k"
8762-d,1438966672077,1,director,"box 5 has a person that looks like they are flying, arms up, no legs showing"
8762-d,1438966684723,1,matcher,"k"
8762-d,1438966704157,1,director,"box 6 looks like a block with the head in the middle of the top"
8762-d,1438966723119,1,matcher,"k"
8762-d,1438966735382,1,director,"box 4 has the person doing an ice skating/dance move with one leg up behind it"
8762-d,1438966743924,1,matcher,"k"
8762-d,1438966770048,1,director,"box 11 looks like the person is holding a plate infront of it"
8762-d,1438966808498,1,matcher,"k"
8762-d,1438966817526,1,director,"box 9 has a person sitting leaning on a wall with 2 triangles above it's head"
8762-d,1438966838336,1,matcher,"k"
8762-d,1438966892490,1,director,"box 2 looks like a person dancing, head tilted back, facing right with a leg on floor"
8762-d,1438966936101,1,director,"box 3 looks like a person is kneeling looking right possibly holding something in hands"
8762-d,1438966943207,1,matcher,"k"
8762-d,1438966987761,1,director,"box 10 looks like a person is on it's way to kneeling down holding something, looking to the right"
8762-d,1438967005996,1,matcher,"k"
8762-d,1438967009220,1,director,"box 12 is a person with one foot of the floor facing left"
8762-d,1438967036465,1,matcher,"k"
8762-d,1438967058255,1,director,"and the last box 8 is a person sitting, trinagle sticking out of the back of head. should be the last box"
8762-d,1438967068714,1,matcher,"yep"
8762-d,1438967083346,2,matcher,"Guess I messed one up, 10 correct"
8762-d,1438967086846,2,matcher,"Close"
8762-d,1438967095675,2,director,"it's okay"
8762-d,1438967114310,2,director,"box 1 person on floor with a triangle sticking out of head"
8762-d,1438967138928,2,matcher,"k"
8762-d,1438967142216,2,director,"box 2 person up with one foot off the floor"
8762-d,1438967163579,2,matcher,"k"
8762-d,1438967173589,2,director,"box 3 is the big block with the diamond head in the center"
8762-d,1438967181728,2,matcher,"k"
8762-d,1438967200756,2,director,"box 4 is the person facing right doing a skaking move with foot up and behind it"
8762-d,1438967224820,2,director,"box 5 is person facing right, feet together, holding a something at chest level"
8762-d,1438967242106,2,director,"box 4 is facing left, sorry"
8762-d,1438967249072,2,matcher,"k"
8762-d,1438967269106,2,director,"the same with box 5, facing left.~~~~~~sorry"
8762-d,1438967275518,2,matcher,"k"
8762-d,1438967292775,2,director,"box 6 is person sitting on floor, with knees up, facing left, looking down"
8762-d,1438967307607,2,matcher,"k"
8762-d,1438967325766,2,director,"box 7 person is facing right, in a dancing move, head tilted back"
8762-d,1438967350152,2,director,"box 8 is person flying at an angle with arms up"
8762-d,1438967368961,2,matcher,"k"
8762-d,1438967371129,2,director,"box 9 is person sitting on floor facing right with 2 triangles on head"
8762-d,1438967407447,2,director,"box 10 is person on it's way to kneeling holding something at chest level"
8762-d,1438967431368,2,director,"box 11 is person kneeling, holding something at chest level"
8762-d,1438967449738,2,director,"and box 12 is person sittling, facing forward, no limbs visible"
8762-d,1438967483063,3,director,"this is going to take forever, 4 rounds left"
8762-d,1438967487752,3,matcher,"yep"
8762-d,1438967494822,3,matcher,"penny bonuses as well"
8762-d,1438967498140,3,director,"box 1 person facing right one foot of floor"
8762-d,1438967500992,3,director,"I know"
8762-d,1438967512794,3,director,"box 2 person siting, no limbs showing"
8762-d,1438967530565,3,director,"box 3 dancer facing right with head tiltled back "
8762-d,1438967545967,3,director,"box 4 person on it's way down to kneel"
8762-d,1438967557113,3,director,"box 5 person kneeling down"
8762-d,1438967575426,3,director,"box 6 person sitting on floor with knees up, head tilted down"
8762-d,1438967577032,3,matcher,"keep em coming as fast as you can"
8762-d,1438967587162,3,director,"box 7 ice skater"
8762-d,1438967608123,3,director,"box 8 person sitting, facing right with 2 triangles on head"
8762-d,1438967625887,3,director,"box 9 person standing facing left holding something at chest level"
8762-d,1438967631063,3,director,"box 10 superman"
8762-d,1438967646620,3,director,"box 11 big block, head in middle"
8762-d,1438967666341,4,matcher,"always one off. oh well"
8762-d,1438967672760,4,director,"box 1 , facing left one foot off the floor"
8762-d,1438967684898,4,director,"box 2 sitting facing right, two triangles on head"
8762-d,1438967689906,4,director,"box 3 ice skater"
8762-d,1438967696436,4,director,"box 4 person about to kneel"
8762-d,1438967714816,4,director,"box 5 big block, diamond head center "
8762-d,1438967725271,4,director,"box 6 person sitting knees bent facing left"
8762-d,1438967733477,4,director,"box 7 flyer"
8762-d,1438967744340,4,director,"boxk 8 person kneeling "
8762-d,1438967756805,4,director,"box 9 dancer with head tilted back "
8762-d,1438967765361,4,director,"box 10 person sitting, no limbs showing"
8762-d,1438967777411,4,director,"box 11 person facing left, holding something at chest level"
8762-d,1438967787281,5,director,"sweet"
8762-d,1438967791589,5,matcher,"finally"
8762-d,1438967796848,5,director,"box 1 person sitting, no limbs showing"
8762-d,1438967815623,5,director,"box 2 person sitting facing left, triangle at back of head"
8762-d,1438967823192,5,director,"box 3 dancer, facing right"
8762-d,1438967829717,5,director,"box 4 person kneeling"
8762-d,1438967837686,5,director,"box 5 person sitting, knees up"
8762-d,1438967856254,5,director,"box 6 person facing left, foot off the floor"
8762-d,1438967873775,5,director,"box 7 person facing left, holding something at chest level"
8762-d,1438967879775,5,director,"box 8 ice skater"
8762-d,1438967891789,5,director,"box 9 flyer"
8762-d,1438967903163,5,director,"box 10 big block with diamond head at center"
8762-d,1438967917539,5,director,"box 11 sitting with two triangles at top of head"
8762-d,1438967937206,5,director,"box 12 should be person on it's way to kneel"
8762-d,1438967964537,6,director,"box 1 person standing facing left holding something at chest level"
8762-d,1438967976155,6,director,"box 2 sitting, knees up"
8762-d,1438967988603,6,director,"box 3 sitting with triangle sticking out of the head"
8762-d,1438967992721,6,director,"box 4 flyer"
8762-d,1438968000924,6,director,"box 5 about to kneel"
8762-d,1438968012180,6,director,"box 6 sitting, no limbs showing"
8762-d,1438968021462,6,director,"box 7 ice skater"
8762-d,1438968034352,6,director,"box 8 big block, diamond head at center"
8762-d,1438968039785,6,director,"box 9 kneeling"
8762-d,1438968049180,6,director,"box 10 dancer facing right"
8762-d,1438968066254,6,director,"box 11 person sitting facing right two triangles top of head"
8762-d,1438968072687,6,matcher,"gg"
