gameid,time,roundNum,sender,contents
0770-e,1438962733437,1,director,"hi"
0770-e,1438962740405,1,matcher,"hey"
0770-e,1438962752762,1,director,"I'm a bit lost"
0770-e,1438962814913,1,matcher,"describe the shape and tell me the number it is. Ex~~~ The one that looks like a person sitting in a beanbag chair - which #?"
0770-e,1438962839642,1,director,"#2"
0770-e,1438962863081,1,matcher,"good, keep going.~~~~~~the angel-looking one?"
0770-e,1438962875927,1,director,"#9"
0770-e,1438962905445,1,matcher,"ok.~~~the um~~~~~~peacock looking one?"
0770-e,1438962923933,1,director,"#7"
0770-e,1438962951341,1,director,"12 looks like a graduate?"
0770-e,1438962976014,1,matcher,"ok, snowman with triangle boobs?"
0770-e,1438963022104,1,director,"i have 2 of them that look a little the same number 10 is kneeling (snowman) and 11 is bending (snowman)"
0770-e,1438963046129,1,matcher,"haha, got it"
0770-e,1438963064082,1,matcher,"square rock on a hilltop?"
0770-e,1438963095104,1,director,"I think that is number 6 does it have 2 things like a bow on the top?"
0770-e,1438963119999,1,matcher,"ya, got it. Walking bear with square on back?"
0770-e,1438963133399,1,director,"that's number 1 "
0770-e,1438963151124,1,matcher,"ok, submit and see how we did!"
0770-e,1438963159437,2,director,"ok"
0770-e,1438963171537,2,matcher,"7? ugh"
0770-e,1438963195053,2,director,"ok, let's see, angel 1"
0770-e,1438963199332,2,director,"bear 2"
0770-e,1438963211287,2,director,"beanbag 6"
0770-e,1438963222644,2,matcher,"ok"
0770-e,1438963262314,2,director,"kneeling person, 3 I can describe more if you want"
0770-e,1438963300738,2,matcher,"yes, keep going. i'm keeping up"
0770-e,1438963310168,2,director,"mountain 8"
0770-e,1438963339904,2,director,"peacock, not sure 7"
0770-e,1438963360090,2,director,"graduate he's got his hand out ?? 10"
0770-e,1438963402743,2,director,"number 4 is a square on top of a flat surface with jagged right side"
0770-e,1438963416496,2,matcher,"good so far"
0770-e,1438963434389,2,matcher,"5 is rock on hilltop with bow?"
0770-e,1438963450093,2,director,"oh, lol, got it now"
0770-e,1438963477735,2,director,"what else"
0770-e,1438963498637,2,director,"ok, 12 is a square on top"
0770-e,1438963500905,2,matcher,"triangle boob snowman, with and without back piece missing"
0770-e,1438963521837,2,director,"that one i'm lost with "
0770-e,1438963533981,2,director,"3 and 4 they look the same"
0770-e,1438963541645,2,director,"no, sorry 3 and 9"
0770-e,1438963597425,2,matcher,"my 9 looks like a square headed dancer dragging back leg"
0770-e,1438963614122,2,director,"9"
0770-e,1438963626037,2,matcher,"ok, submit and move on?"
0770-e,1438963626227,2,director,"the one that looks just like, 3 I think"
0770-e,1438963632087,2,director,"ok"
0770-e,1438963659028,3,director,"beanbag 6"
0770-e,1438963668746,3,director,"snowman dragging 4"
0770-e,1438963691178,3,director,"peacock 8"
0770-e,1438963695872,3,director,"graduate 9"
0770-e,1438963699072,3,director,"angel 10"
0770-e,1438963708746,3,director,"square mountain, 2"
0770-e,1438963721888,3,director,"square on top jagged to the right 3"
0770-e,1438963731584,3,director,"bear 12"
0770-e,1438963733232,3,matcher,"2 - is that the diamond shape on the flat surface?"
0770-e,1438963742912,3,director,"yes."
0770-e,1438963789293,3,director,"7 diamond with a triangle to the right"
